age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,360132,293040,635971,56.6,46.1,494,0.1
16-19,512700,444190,591331,86.7,75.1,189729,32.1
20-29,1100941,982632,1319364,83.4,74.5,616996,46.8
30-39,1053939,965403,1207243,87.3,80,631386,52.3
40-49,991499,920612,1110965,89.2,82.9,679185,61.1
50-59,788341,741625,874608,90.1,84.8,596985,68.3
60-69,687966,661120,747217,92.1,88.5,571983,76.5
70-79,475999,465212,526929,90.3,88.3,434860,82.5
80-89,215438,209795,238729,90.2,87.9,190207,79.7
90+,49010,47199,58687,83.5,80.4,41491,70.7
