period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,350,2826,1.14,9.23
3_Month,5-11,1622,37928,0.38,8.8
6_Month,5-11,1633,38565,0.35,8.32
1_Year,5-11,1633,39885,0.29,6.98
All,5-11,1633,40014,0.24,5.95
1_Month,12-15,510,780,3.36,5.14
3_Month,12-15,6499,14074,3.13,6.78
6_Month,12-15,6615,14402,3.04,6.63
1_Year,12-15,6695,15339,2.63,6.04
All,12-15,6695,15495,2.08,4.82
1_Month,16-19,762,329,5.27,2.27
3_Month,16-19,10488,8394,6.17,4.94
6_Month,16-19,10623,8637,6.06,4.92
1_Year,16-19,10846,9463,5.4,4.71
All,16-19,10855,9729,3.83,3.43
1_Month,20-29,2588,656,6.17,1.56
3_Month,20-29,24395,15249,7.03,4.39
6_Month,20-29,24742,15739,6.89,4.38
1_Year,20-29,25254,17484,5.99,4.15
All,20-29,25275,17907,4.39,3.11
1_Month,30-39,2328,728,5.27,1.65
3_Month,30-39,21677,13393,5.86,3.62
6_Month,30-39,21969,13778,5.74,3.6
1_Year,30-39,22393,15032,5.01,3.37
All,30-39,22425,15324,4,2.73
1_Month,40-49,1926,507,4.58,1.2
3_Month,40-49,18935,9846,5.58,2.9
6_Month,40-49,19197,10099,5.49,2.89
1_Year,40-49,19535,10843,4.9,2.72
All,40-49,19570,11055,3.94,2.23
1_Month,50-59,1259,342,3.95,1.07
3_Month,50-59,11543,5282,5.18,2.37
6_Month,50-59,11684,5388,5.11,2.36
1_Year,50-59,11875,5689,4.64,2.22
All,50-59,11908,5841,3.64,1.78
1_Month,60-69,763,163,3.18,0.68
3_Month,60-69,6352,2755,4.26,1.85
6_Month,60-69,6444,2800,4.22,1.83
1_Year,60-69,6560,2906,3.86,1.71
All,60-69,6583,2978,3.05,1.38
1_Month,70-79,268,34,1.8,0.23
3_Month,70-79,2471,760,3.14,0.97
6_Month,70-79,2511,770,3.12,0.96
1_Year,70-79,2577,807,2.87,0.9
All,70-79,2591,849,2.3,0.75
1_Month,80-89,114,22,2.23,0.43
3_Month,80-89,1083,334,3.6,1.11
6_Month,80-89,1091,340,3.55,1.11
1_Year,80-89,1130,349,3.2,0.99
All,80-89,1143,379,2.41,0.8
1_Month,90+,36,4,3.23,0.36
3_Month,90+,378,83,4.87,1.07
6_Month,90+,382,83,4.83,1.05
1_Year,90+,399,87,4.36,0.95
All,90+,406,98,3.08,0.74
