age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,312947,219446,635971,49.2,34.5,195,0
16-19,484814,415363,591331,82,70.2,80591,13.6
20-29,1055887,955634,1319364,80,72.4,282122,21.4
30-39,1021179,943915,1207243,84.6,78.2,352074,29.2
40-49,967609,903258,1110965,87.1,81.3,470266,42.3
50-59,774069,729429,874608,88.5,83.4,476624,54.5
60-69,680993,653084,747217,91.1,87.4,513123,68.7
70-79,472862,460542,526929,89.7,87.4,406928,77.2
80-89,214010,207913,238729,89.6,87.1,177605,74.4
90+,48656,46769,58687,82.9,79.7,38024,64.8
