age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,899,164,2264,365.8,522.1,243.9,0,0,0,0,0,0
12-15,603,582,585,288.3,394.8,221,0,0,0,0,0,0
16-19,300,1681,321,167.2,615.4,246.4,0,0,0,0,0,0
20-29,398,5013,779,111.8,648.5,443.3,0,1,1,0,0.1,0.6
30-39,624,5840,892,168.5,834.9,700,0,1,1,0,0.1,0.8
40-49,822,5981,689,232.6,922.5,684.4,0,2,1,0,0.3,1
50-59,1121,5248,506,408.6,983.7,839,0,6,2,0,1.1,3.3
60-69,4850,4293,475,1313.1,1367.4,816.1,15,13,12,4.1,4.1,20.6
70-79,6321,2402,352,1897.8,1483.3,1461.2,34,26,13,10.2,16.1,54
80+,3676,1068,312,2051.4,1308,1763.2,71,43,24,39.6,52.7,135.6
