age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.6,15,0,0,19.3,80.7,0
12-15,65.3,53.6,13.3,0,59.28,39.58,1.14
16-19,89.2,77.8,44.8,0,69.38,19.91,10.72
20-29,85.5,76.6,53.8,0.3,71.62,14.36,14.02
30-39,88.9,81.6,58.9,0.8,74.69,11.51,13.8
40-49,90.4,84.3,66.3,1.2,79.76,9.66,10.58
50-59,91,86,72.5,2,83.32,7.98,8.69
60-69,92.7,89.6,79.9,26.6,86.99,7.26,5.75
70-79,90.8,89.2,85.6,44.1,90.15,5.36,4.49
80-89,90.8,88.9,83,46.1,87.74,5.73,6.52
90+,84.3,81.5,75.4,43.9,80.9,6.68,12.42
