age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,177788,42616,397684,118,287,2434,66.4,673.5,612,0,0,1,0,0,0.3
16-19,427144,24942,131459,1363,80,732,319.1,320.7,556.8,0,0,0,0,0,0
20-29,989711,42381,268269,4142,108,1417,418.5,254.8,528.2,0,0,2,0,0,0.7
30-39,967544,33106,196376,4268,85,1242,441.1,256.8,632.5,1,0,12,0.1,0,6.1
40-49,926199,25363,146994,4292,46,931,463.4,181.4,633.4,5,0,20,0.5,0,13.6
50-59,746960,17058,85948,3116,37,549,417.2,216.9,638.8,17,0,19,2.3,0,22.1
60-69,664994,10455,66190,2627,18,353,395,172.2,533.3,52,2,35,7.8,19.1,52.9
70-79,463892,5786,21106,1800,21,183,388,362.9,867.1,76,2,23,16.4,34.6,109
80-89,208699,3871,12968,852,9,115,408.2,232.5,886.8,86,2,24,41.2,51.7,185.1
90+,46532,1759,3205,230,6,43,494.3,341.1,1341.7,26,4,10,55.9,227.4,312
