age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,220323,164316,618088,35.6,26.6,4,0
16-19,452064,397820,583545,77.5,68.2,29,0
20-29,1032077,941468,1300361,79.4,72.4,250,0
30-39,1000635,932317,1197026,83.6,77.9,658,0.1
40-49,951553,892216,1098556,86.6,81.2,2570,0.2
50-59,764011,719753,849966,89.9,84.7,5079,0.6
60-69,675446,647332,741639,91.1,87.3,290281,39.1
70-79,469673,457261,490784,95.7,93.2,276098,56.3
80-89,212569,206625,225538,94.2,91.6,115997,51.4
90+,48290,46495,51496,93.8,90.3,24033,46.7
