age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,627,0,1155,216.5,,125.6,0,0,1,0,,0.1
12-15,408,182,254,143.1,216.5,101.3,0,0,0,0,0,0
16-19,726,117,205,188.7,153.8,173.9,1,0,1,0.3,0,0.8
20-29,2432,239,573,253.8,149.9,322.1,0,0,1,0,0,0.6
30-39,3357,297,712,365,219.9,537.7,2,1,3,0.2,0.7,2.3
40-49,3091,180,591,345.3,181.9,578.2,6,2,3,0.7,2,2.9
50-59,2586,140,495,352.1,206.6,777.9,8,0,10,1.1,0,15.7
60-69,3886,122,577,597.4,314.7,1078.8,34,2,8,5.2,5.2,15
70-79,3347,77,414,694.1,347.5,2093.3,36,2,8,7.5,9,40.5
80-89,1568,63,222,732.3,423.8,2958.4,34,4,11,15.9,26.9,146.6
90+,525,21,62,1031.7,288.9,,27,3,7,53.1,41.3,
