age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.7,76.2,0.1
12-15,65.5,54.5,14.6,0,44.1,41.4,14.5
16-19,89.2,78.1,45.8,0.2,64.7,21.8,13.5
20-29,85.5,76.9,54.6,0.7,72.8,13.5,13.7
30-39,88.9,81.8,59.5,1.8,75.9,10.6,13.5
40-49,90.5,84.6,66.9,3.1,80.2,9.1,10.6
50-59,91.2,86.4,73.1,6.4,84,7.2,8.8
60-69,93.1,90.2,80.7,32.9,87,7.9,5.1
70-79,92,90.6,87.2,53.3,91,5.4,3.6
80+,95.2,93.2,87.4,57.1,88.7,6.5,4.8
