age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,361267,295088,635971,56.8,46.4,509,0.1
16-19,513681,445453,591331,86.9,75.3,192321,32.5
20-29,1102946,984235,1319364,83.6,74.6,623624,47.3
30-39,1055141,966542,1207243,87.4,80.1,636546,52.7
40-49,992254,921451,1110965,89.3,82.9,682397,61.4
50-59,788835,742182,874608,90.2,84.9,599025,68.5
60-69,688255,661452,747217,92.1,88.5,573119,76.7
70-79,476174,465402,526929,90.4,88.3,435514,82.7
80-89,215514,209900,238729,90.3,87.9,190560,79.8
90+,49030,47221,58687,83.5,80.5,41614,70.9
