age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,60,0,491,17.2,0,194,0,0,0,0,0,0
16-19,47,76,188,13.3,81.9,153.7,0,0,0,0,0,0
20-29,91,185,399,11.1,77.8,187.2,0,1,5,0,0.4,2.3
30-39,145,216,413,18.1,101,266.1,0,0,10,0,0,6.4
40-49,119,159,337,14.6,104.4,281.7,1,0,30,0.1,0,25.1
50-59,59,71,188,8.6,74.9,230.2,2,2,38,0.3,2.1,46.5
60-69,60,51,128,9.5,98.8,217.6,6,3,33,1,5.8,56.1
70-79,56,23,82,12.3,82.8,212,10,4,16,2.2,14.4,41.4
80-89,40,12,44,20.1,69.3,230,5,0,10,2.5,0,52.3
90+,6,5,12,14.1,69,164,0,1,5,0,13.8,68.3
