period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
6_Month,5-11,1275,36429,0.26,7.3
All,5-11,1275,37094,0.2,5.79
1_Year,5-11,1275,37008,0.23,6.7
3_Month,5-11,1275,35417,0.31,8.62
1_Month,5-11,719,16499,0.39,9
1_Month,12-15,2502,4408,3.27,5.76
1_Year,12-15,6168,14562,2.52,5.95
6_Month,12-15,6141,14060,2.77,6.33
3_Month,12-15,6076,13485,3.09,6.85
All,12-15,6168,14687,2.02,4.81
All,16-19,10066,9393,3.75,3.5
1_Year,16-19,10057,9146,5.3,4.82
1_Month,16-19,3393,1711,5.78,2.92
6_Month,16-19,9931,8780,5.67,5.02
3_Month,16-19,9816,8187,6.23,5.2
All,20-29,22623,17235,4.25,3.24
3_Month,20-29,22028,14819,7.11,4.79
6_Month,20-29,22367,16121,6.4,4.61
1_Month,20-29,7520,3241,6.82,2.94
1_Year,20-29,22611,16873,5.83,4.35
All,30-39,20041,14572,3.89,2.83
1_Year,30-39,20035,14346,4.9,3.51
3_Month,30-39,19533,12835,5.91,3.89
1_Month,30-39,7772,3638,5.64,2.64
6_Month,30-39,19824,13824,5.33,3.72
1_Month,40-49,6477,2648,5.09,2.08
All,40-49,17595,10538,3.88,2.32
1_Year,40-49,17583,10365,4.87,2.87
6_Month,40-49,17404,10056,5.27,3.05
3_Month,40-49,17171,9464,5.7,3.14
6_Month,50-59,10472,5234,5.07,2.53
All,50-59,10598,5500,3.6,1.87
1_Year,50-59,10588,5369,4.67,2.37
3_Month,50-59,10349,4995,5.35,2.58
1_Month,50-59,4006,1373,4.91,1.68
All,60-69,5806,2811,3.03,1.47
1_Year,60-69,5799,2749,3.93,1.86
1_Month,60-69,2026,701,3.88,1.34
3_Month,60-69,5657,2616,4.47,2.07
6_Month,60-69,5713,2688,4.27,2.01
1_Year,70-79,2308,779,3.05,1.03
1_Month,70-79,762,230,2.89,0.87
All,70-79,2315,815,2.37,0.83
3_Month,70-79,2225,732,3.45,1.14
6_Month,70-79,2262,754,3.33,1.11
6_Month,80-89,990,320,3.67,1.19
1_Year,80-89,1016,327,3.32,1.07
All,80-89,1026,355,2.43,0.84
3_Month,80-89,975,311,3.88,1.24
1_Month,80-89,335,103,3.12,0.96
All,90+,370,94,3.07,0.78
1_Year,90+,367,83,4.49,1.02
6_Month,90+,351,79,4.9,1.1
3_Month,90+,345,78,5.16,1.17
1_Month,90+,109,26,3.84,0.92
