age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.28,75.72,0
12-15,65.5,54.3,14.2,0,54.16,39.53,6.31
16-19,89.3,78,45.5,0.1,69.8,19.96,10.24
20-29,85.6,76.8,54.3,0.6,74.14,14.01,11.85
30-39,89,81.9,59.3,1.5,77.48,11.3,11.22
40-49,90.5,84.5,66.6,2.5,81.67,9.45,8.88
50-59,91.1,86.2,72.8,5,84.67,7.69,7.65
60-69,92.7,89.8,80.1,30,87.71,7.15,5.15
70-79,90.9,89.4,85.9,48.6,91.24,4.59,4.17
80-89,90.8,89,83.4,50.9,88.8,5.05,6.16
90+,84.4,81.7,76,48.9,82.99,4.92,12.09
