age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,339962,265285,635971,53.5,41.7,329,0.1
16-19,497365,431068,591331,84.1,72.9,135080,22.8
20-29,1071151,967176,1319364,81.2,73.3,449525,34.1
30-39,1033149,953843,1207243,85.6,79,497651,41.2
40-49,976628,911570,1110965,87.9,82.1,585044,52.7
50-59,779431,735436,874608,89.1,84.1,541630,61.9
60-69,683486,657169,747217,91.5,87.9,544740,72.9
70-79,473933,462807,526929,89.9,87.8,421783,80
80-89,214518,208760,238729,89.9,87.4,183908,77
90+,48767,46953,58687,83.1,80,39626,67.5
