age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,364829,300413,583,57.4,47.2,0.1,58.22,41.76,0.02
16-19,516456,448710,201190,87.3,75.9,34,63.2,21.13,15.67
20-29,1108139,989164,643211,84,75,48.8,65.58,16.19,18.23
30-39,1058544,969881,652252,87.7,80.3,54,69.21,12.91,17.88
40-49,994573,923842,692440,89.5,83.2,62.3,75.55,10.75,13.69
50-59,790169,743794,605005,90.3,85,69.2,80.02,9.18,10.8
60-69,689031,662511,576346,92.2,88.7,77.1,85.3,7.8,6.89
70-79,476575,465987,437336,90.4,88.4,83,87.76,6.98,5.26
80-89,215692,210175,191383,90.4,88,80.2,84.86,7.78,7.35
90+,49084,47280,41882,83.6,80.6,71.4,74.97,12.1,12.93
