age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.8,76.1,0
12-15,65.5,54.4,14.5,0,44.8,41.2,13.9
16-19,89.2,78.1,45.7,0.1,65.2,21.8,13
20-29,85.5,76.9,54.5,0.7,72.8,13.6,13.5
30-39,88.8,81.8,59.5,1.8,75.9,10.7,13.4
40-49,90.5,84.6,66.8,3,80.2,9.2,10.6
50-59,91.2,86.4,73.1,6.3,83.9,7.3,8.8
60-69,93.1,90.1,80.6,32.8,87,7.9,5.1
70-79,92,90.5,87.2,53.2,90.8,5.7,3.5
80+,95.2,93.2,87.3,56.9,88.7,6.5,4.8
