age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,263706,114783,45,21.3,9.3,0,10.96,89.04,0
12-15,407155,329046,55636,64,51.7,8.7,59.3,40.44,0.26
16-19,524922,457071,247997,88.8,77.3,41.9,67.47,20.25,12.28
20-29,1124031,1005095,696391,85.2,76.2,52.8,69.57,14.81,15.61
30-39,1069987,981346,699415,88.6,81.3,57.9,72.68,11.86,15.46
40-49,1002515,932924,726388,90.2,84,65.4,78.18,9.93,11.89
50-59,794789,750011,626411,90.9,85.8,71.6,82.13,8.28,9.58
60-69,691849,667111,590349,92.6,89.3,79,86.35,7.39,6.26
70-79,478045,468688,446186,90.7,88.9,84.7,89.38,5.8,4.82
80-89,216322,211303,195209,90.6,88.5,81.8,86.85,6.21,6.94
90+,49304,47554,42973,84,81,73.2,79.31,7.81,12.88
