period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1416,5028,9.38,33.31
3_Month,5-11,2659,10157,7.73,29.54
6_Month,5-11,3876,29602,1.59,12.13
1_Year,5-11,4469,51255,0.73,8.39
All,5-11,4469,51638,0.62,7.18
1_Month,12-15,764,986,13.98,18.04
3_Month,12-15,1767,2412,10.49,14.32
6_Month,12-15,4686,7577,4.38,7.09
1_Year,12-15,8545,18029,3.13,6.61
All,12-15,8546,18401,2.48,5.35
1_Month,16-19,1714,518,22.83,6.9
3_Month,16-19,3118,1053,18.16,6.13
6_Month,16-19,7151,3084,8.07,3.48
1_Year,16-19,14191,10713,6.41,4.84
All,16-19,14242,11034,4.66,3.61
1_Month,20-29,5450,1476,21.72,5.88
3_Month,20-29,9370,2687,17.69,5.07
6_Month,20-29,19627,6751,9.38,3.23
1_Year,20-29,35506,20738,7.28,4.25
All,20-29,35574,21268,5.51,3.3
1_Month,30-39,6458,1865,20.46,5.91
3_Month,30-39,10733,3384,16.12,5.08
6_Month,30-39,21269,7925,8.24,3.07
1_Year,30-39,34249,19011,6.43,3.57
All,30-39,34340,19388,5.27,2.98
1_Month,40-49,5694,1439,18.66,4.72
3_Month,40-49,10057,2563,14.95,3.81
6_Month,40-49,18811,5874,7.64,2.39
1_Year,40-49,30519,13929,6.3,2.88
All,40-49,30622,14198,5.22,2.42
1_Month,50-59,4116,862,14.19,2.97
3_Month,50-59,7059,1517,11.21,2.41
6_Month,50-59,12686,3340,6.78,1.79
1_Year,50-59,19651,7504,5.86,2.24
All,50-59,19718,7686,4.82,1.88
1_Month,60-69,3170,489,9.91,1.53
3_Month,60-69,5271,830,7.77,1.22
6_Month,60-69,8391,1778,5.34,1.13
1_Year,60-69,12335,3884,4.87,1.53
All,60-69,12392,3989,4.1,1.32
1_Month,70-79,1917,225,6.84,0.8
3_Month,70-79,3191,358,5.35,0.6
6_Month,70-79,4423,667,3.95,0.6
1_Year,70-79,6027,1225,3.74,0.76
All,70-79,6053,1279,3.26,0.69
1_Month,80+,1354,147,8.24,0.89
3_Month,80+,2067,225,6.7,0.73
6_Month,80+,2785,408,4.96,0.73
1_Year,80+,3747,694,4.62,0.86
All,80+,3780,741,3.85,0.76
