age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,6,78.5,15.5
12-15,65.6,54.6,14.9,0,10.6,43.6,45.9
16-19,89.3,78.2,46,0.2,11.5,22.7,65.8
20-29,85.6,77.1,54.7,0.8,12.1,13.3,74.6
30-39,88.9,82,59.7,2,13.9,10.5,75.5
40-49,90.6,84.7,67,3.5,14.4,9,76.6
50-59,91.2,86.6,73.3,7.2,15.2,6.7,78.1
60-69,93.2,90.3,80.8,34,12.6,7.7,79.8
70-79,92.1,90.7,87.4,54.6,12.1,3.9,84
80+,95.3,93.2,87.5,58,11.2,6.1,82.7
