period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,169,348,18.51,38.12
3_Month,5-11,472,1010,16.5,35.3
6_Month,5-11,3147,10671,9.51,32.25
1_Year,5-11,5222,51649,1.06,10.49
All,5-11,5222,53444,0.72,7.37
1_Month,12-15,385,159,37.13,15.33
3_Month,12-15,758,431,28.37,16.13
6_Month,12-15,2477,2719,14.75,16.19
1_Year,12-15,9426,17732,3.95,7.43
All,12-15,9490,19074,2.73,5.48
1_Month,16-19,851,114,45.75,6.13
3_Month,16-19,1376,216,39.72,6.24
6_Month,16-19,4652,1289,23.73,6.57
1_Year,16-19,15849,10095,7.93,5.05
All,16-19,16062,11373,5.17,3.66
1_Month,20-29,2157,187,45.72,3.96
3_Month,20-29,3522,375,38.88,4.14
6_Month,20-29,13593,3117,22.78,5.22
1_Year,20-29,40108,19364,9.16,4.42
All,20-29,40603,21958,6.14,3.32
1_Month,30-39,2079,248,40.93,4.88
3_Month,30-39,3615,501,34.39,4.77
6_Month,30-39,15112,3982,20.63,5.44
1_Year,30-39,39148,18447,8.1,3.82
All,30-39,39594,20317,5.91,3.03
1_Month,40-49,2578,183,44.67,3.17
3_Month,40-49,4323,441,36.34,3.71
6_Month,40-49,15176,3091,20.21,4.12
1_Year,40-49,36195,13781,7.98,3.04
All,40-49,36595,14963,6.04,2.47
1_Month,50-59,2107,196,35.32,3.29
3_Month,50-59,3532,370,28.09,2.94
6_Month,50-59,11217,1955,15.49,2.7
1_Year,50-59,24252,7689,7.39,2.34
All,50-59,24493,8249,5.7,1.92
1_Month,60-69,1691,113,26.46,1.77
3_Month,60-69,2975,199,20.39,1.36
6_Month,60-69,8789,1106,11,1.38
1_Year,60-69,16217,4109,6.22,1.58
All,60-69,16386,4336,5.03,1.33
1_Month,70-79,1113,63,17.74,1
3_Month,70-79,2103,108,13.71,0.7
6_Month,70-79,5784,497,7.83,0.67
1_Year,70-79,8823,1351,4.99,0.76
All,70-79,8917,1445,4.24,0.69
1_Month,80+,769,82,17.53,1.87
3_Month,80+,1367,131,14.41,1.38
6_Month,80+,3914,391,9.37,0.94
1_Year,80+,5693,867,6.27,0.95
All,80+,5773,937,5.1,0.83
