_id,test_date,age_60_and_above,male,female,NULL
785,2020-11-27,No,5668,5576,20
786,2020-11-27,Yes,1174,1085,1
787,2020-11-28,NULL,62,45,7
788,2020-11-28,No,2922,2967,9
789,2020-11-28,Yes,452,424,0
790,2020-11-29,NULL,421,261,18
791,2020-11-29,No,8288,8019,51
792,2020-11-29,Yes,1458,1375,4
793,2020-11-30,NULL,300,229,23
794,2020-11-30,No,9679,9792,69
795,2020-11-30,Yes,1726,1702,3
796,2020-12-01,NULL,356,236,23
797,2020-12-01,No,10846,10842,53
798,2020-12-01,Yes,1780,1737,2
799,2020-12-02,NULL,318,256,46
800,2020-12-02,No,10559,11144,76
801,2020-12-02,Yes,1629,1535,13
802,2020-12-03,NULL,466,308,24
803,2020-12-03,No,9565,10170,94
804,2020-12-03,Yes,2155,2328,3
805,2020-12-04,NULL,352,204,13
806,2020-12-04,No,8278,8625,26
807,2020-12-04,Yes,1587,1680,3
808,2020-12-05,NULL,77,81,27
809,2020-12-05,No,4221,4382,11
810,2020-12-05,Yes,663,629,0
811,2020-12-06,NULL,389,283,43
812,2020-12-06,No,9577,9926,55
813,2020-12-06,Yes,1754,1628,2
814,2020-12-07,NULL,477,292,77
815,2020-12-07,No,11047,11111,71
816,2020-12-07,Yes,1764,1550,6
817,2020-12-08,NULL,425,311,30
818,2020-12-08,No,11220,11826,88
819,2020-12-08,Yes,1797,1841,5
820,2020-12-09,NULL,383,273,43
821,2020-12-09,No,11656,11439,58
822,2020-12-09,Yes,1663,1646,6
823,2020-12-10,NULL,435,284,45
824,2020-12-10,No,12437,13298,78
825,2020-12-10,Yes,1926,1948,6
826,2020-12-11,NULL,271,218,10
827,2020-12-11,No,11406,11669,71
828,2020-12-11,Yes,1580,1539,1
829,2020-12-12,NULL,71,78,6
830,2020-12-12,No,4530,4727,20
831,2020-12-12,Yes,650,572,0
832,2020-12-13,NULL,474,309,59
833,2020-12-13,No,11855,12109,64
834,2020-12-13,Yes,1726,1664,1
835,2020-12-14,NULL,503,335,32
836,2020-12-14,No,11709,12475,95
837,2020-12-14,Yes,1860,1864,2
838,2020-12-15,NULL,558,385,40
839,2020-12-15,No,13187,13274,66
840,2020-12-15,Yes,1967,2062,0
841,2020-12-16,NULL,352,396,36
842,2020-12-16,No,11953,12301,53
843,2020-12-16,Yes,1666,1750,9
844,2020-12-17,NULL,446,340,70
845,2020-12-17,No,12661,12827,58
846,2020-12-17,Yes,2394,2338,0
847,2020-12-18,NULL,281,239,18
848,2020-12-18,No,9994,9675,66
849,2020-12-18,Yes,1589,1713,4
850,2020-12-19,NULL,129,124,1
851,2020-12-19,No,6584,6392,22
852,2020-12-19,Yes,1113,1086,2
853,2020-12-20,NULL,545,307,50
854,2020-12-20,No,11950,11360,75
855,2020-12-20,Yes,1892,1849,3
856,2020-12-21,NULL,459,348,33
857,2020-12-21,No,12546,12824,81
858,2020-12-21,Yes,1934,2045,2
859,2020-12-22,NULL,362,277,49
860,2020-12-22,No,12158,12436,134
861,2020-12-22,Yes,1703,1827,4
862,2020-12-23,NULL,381,313,35
863,2020-12-23,No,13728,13901,87
864,2020-12-23,Yes,1798,1805,2
865,2020-12-24,NULL,290,292,22
866,2020-12-24,No,13810,14267,95
867,2020-12-24,Yes,1774,1871,7
868,2020-12-25,NULL,226,160,23
869,2020-12-25,No,9630,9803,80
870,2020-12-25,Yes,1280,1404,5
871,2020-12-26,NULL,114,122,8
872,2020-12-26,No,8288,8288,71
873,2020-12-26,Yes,1050,1051,2
874,2020-12-27,NULL,308,326,53
875,2020-12-27,No,11844,12696,134
876,2020-12-27,Yes,1456,1600,2
877,2020-12-28,NULL,314,289,51
878,2020-12-28,No,14436,15173,146
879,2020-12-28,Yes,1612,1742,5
880,2020-12-29,NULL,294,269,46
881,2020-12-29,No,14586,15496,186
882,2020-12-29,Yes,1546,1659,4
883,2020-12-30,NULL,296,269,54
884,2020-12-30,No,13910,15089,143
885,2020-12-30,Yes,1437,1554,3
886,2020-12-31,NULL,288,359,40
887,2020-12-31,No,13774,14689,120
888,2020-12-31,Yes,1397,1569,2
889,2021-01-01,NULL,192,223,42
890,2021-01-01,No,10385,10596,96
891,2021-01-01,Yes,1030,1173,0
892,2021-01-02,NULL,99,127,5
893,2021-01-02,No,8351,8706,60
894,2021-01-02,Yes,915,905,0
895,2021-01-03,NULL,496,349,42
896,2021-01-03,No,14911,15753,113
897,2021-01-03,Yes,1569,1595,2
898,2021-01-04,NULL,429,445,35
899,2021-01-04,No,16703,17808,147
900,2021-01-04,Yes,1568,1696,1
901,2021-01-05,NULL,347,301,28
902,2021-01-05,No,15040,15737,106
903,2021-01-05,Yes,1555,1722,3
904,2021-01-06,NULL,388,281,34
905,2021-01-06,No,15088,16075,97
906,2021-01-06,Yes,1677,1774,3
907,2021-01-07,NULL,312,325,36
908,2021-01-07,No,15233,16142,74
909,2021-01-07,Yes,1611,1768,2
910,2021-01-08,NULL,291,245,15
911,2021-01-08,No,9469,9433,71
912,2021-01-08,Yes,1119,1183,3
913,2021-01-09,NULL,220,141,9
914,2021-01-09,No,10999,11123,34
915,2021-01-09,Yes,1148,1176,0
916,2021-01-10,NULL,1194,993,54
917,2021-01-10,No,15874,15692,59
918,2021-01-10,Yes,1836,1855,0
919,2021-01-11,NULL,626,545,39
920,2021-01-11,No,14655,15244,169
921,2021-01-11,Yes,1854,1978,4
922,2021-01-12,NULL,374,289,31
923,2021-01-12,No,13928,14191,123
924,2021-01-12,Yes,1742,1863,0
925,2021-01-13,NULL,322,303,34
926,2021-01-13,No,14223,14658,48
927,2021-01-13,Yes,1853,2028,0
928,2021-01-14,NULL,332,314,13
929,2021-01-14,No,11153,11279,44
930,2021-01-14,Yes,1609,1971,1
931,2021-01-15,NULL,299,316,9
932,2021-01-15,No,7175,7373,35
933,2021-01-15,Yes,1001,1213,1
934,2021-01-16,NULL,133,108,1
935,2021-01-16,No,4283,4304,6
936,2021-01-16,Yes,661,644,0
937,2021-01-17,NULL,393,294,46
938,2021-01-17,No,10377,10188,30
939,2021-01-17,Yes,1452,1465,0
940,2021-01-18,NULL,337,451,50
941,2021-01-18,No,11030,10332,33
942,2021-01-18,Yes,1636,1785,0
943,2021-01-19,NULL,366,293,12
944,2021-01-19,No,8437,8167,42
945,2021-01-19,Yes,1239,1421,3
946,2021-01-20,NULL,251,204,17
947,2021-01-20,No,9502,9146,49
948,2021-01-20,Yes,1241,1360,3
949,2021-01-21,NULL,286,254,15
950,2021-01-21,No,8811,8466,36
951,2021-01-21,Yes,1235,1432,3
952,2021-01-22,NULL,215,179,21
953,2021-01-22,No,5397,5179,17
954,2021-01-22,Yes,801,898,0
955,2021-01-23,NULL,97,87,4
956,2021-01-23,No,3173,3102,5
957,2021-01-23,Yes,499,473,0
958,2021-01-24,NULL,324,287,18
959,2021-01-24,No,8239,7923,55
960,2021-01-24,Yes,1172,1189,2
961,2021-01-25,NULL,487,387,20
962,2021-01-25,No,8948,8469,58
963,2021-01-25,Yes,1103,1332,2
964,2021-01-26,NULL,301,247,18
965,2021-01-26,No,8371,8183,76
966,2021-01-26,Yes,1065,1219,3
967,2021-01-27,NULL,234,161,9
968,2021-01-27,No,8229,7980,57
969,2021-01-27,Yes,976,1078,2
970,2021-01-28,NULL,353,160,13
971,2021-01-28,No,7690,7511,118
972,2021-01-28,Yes,904,1028,0
973,2021-01-29,NULL,121,128,7
974,2021-01-29,No,4467,4189,102
975,2021-01-29,Yes,546,631,1
976,2021-01-30,NULL,65,78,4
977,2021-01-30,No,3191,3007,13
978,2021-01-30,Yes,407,399,1
979,2021-01-31,NULL,230,208,15
980,2021-01-31,No,9537,8387,65
981,2021-01-31,Yes,1078,1099,5
982,2021-02-01,NULL,188,209,10
983,2021-02-01,No,8652,8033,72
984,2021-02-01,Yes,1038,1160,0
985,2021-02-02,NULL,242,259,16
986,2021-02-02,No,9121,8261,137
987,2021-02-02,Yes,916,1085,4
988,2021-02-03,NULL,254,271,16
989,2021-02-03,No,8705,8015,120
990,2021-02-03,Yes,872,1115,3
991,2021-02-04,NULL,136,132,9
992,2021-02-04,No,8189,7722,43
993,2021-02-04,Yes,920,1016,5
994,2021-02-05,NULL,275,136,3
995,2021-02-05,No,5177,4675,21
996,2021-02-05,Yes,605,626,0
997,2021-02-06,NULL,65,51,3
998,2021-02-06,No,3176,3046,11
999,2021-02-06,Yes,340,419,0
1000,2021-02-07,NULL,199,172,16
1001,2021-02-07,No,8055,7974,83
1002,2021-02-07,Yes,896,1036,3
1003,2021-02-08,NULL,152,151,13
1004,2021-02-08,No,7894,7786,69
1005,2021-02-08,Yes,817,1035,4
1006,2021-02-09,NULL,219,175,7
1007,2021-02-09,No,7619,7312,66
1008,2021-02-09,Yes,775,941,3
1009,2021-02-10,NULL,199,196,5
1010,2021-02-10,No,7121,7168,59
1011,2021-02-10,Yes,703,902,5
1012,2021-02-11,NULL,178,154,2
1013,2021-02-11,No,6830,6545,49
1014,2021-02-11,Yes,638,818,3
1015,2021-02-12,NULL,132,117,0
1016,2021-02-12,No,3779,3699,10
1017,2021-02-12,Yes,426,502,2
1018,2021-02-13,NULL,60,48,0
1019,2021-02-13,No,2553,2647,7
1020,2021-02-13,Yes,248,279,0
1021,2021-02-14,NULL,406,197,14
1022,2021-02-14,No,6755,6595,75
1023,2021-02-14,Yes,681,856,3
1024,2021-02-15,NULL,169,176,5
1025,2021-02-15,No,7076,6704,60
1026,2021-02-15,Yes,637,759,5
1027,2021-02-16,NULL,147,127,20
1028,2021-02-16,No,6723,6887,258
1029,2021-02-16,Yes,554,667,18
1030,2021-02-17,NULL,137,93,16
1031,2021-02-17,No,4894,4807,256
1032,2021-02-17,Yes,382,489,12
1033,2021-02-18,NULL,368,138,16
1034,2021-02-18,No,5765,6108,375
1035,2021-02-18,Yes,509,627,16
1036,2021-02-19,NULL,114,107,10
1037,2021-02-19,No,3517,3722,138
1038,2021-02-19,Yes,302,345,9
1039,2021-02-20,NULL,58,56,1
1040,2021-02-20,No,2720,2849,146
1041,2021-02-20,Yes,216,279,7
1042,2021-02-21,NULL,293,149,17
1043,2021-02-21,No,7124,7453,349
1044,2021-02-21,Yes,568,756,21
1045,2021-02-22,NULL,217,191,8
1046,2021-02-22,No,6698,6908,186
1047,2021-02-22,Yes,537,702,12
1048,2021-02-23,NULL,285,138,18
1049,2021-02-23,No,7225,7227,233
1050,2021-02-23,Yes,523,682,16
1051,2021-02-24,NULL,189,103,2
1052,2021-02-24,No,6822,7141,161
1053,2021-02-24,Yes,466,661,10
1054,2021-02-25,NULL,443,199,7
1055,2021-02-25,No,7677,8172,172
1056,2021-02-25,Yes,550,775,5
1057,2021-02-26,NULL,151,124,8
1058,2021-02-26,No,4455,4476,60
1059,2021-02-26,Yes,362,423,3
1060,2021-02-27,NULL,83,49,5
1061,2021-02-27,No,3290,3456,61
1062,2021-02-27,Yes,243,306,8
1063,2021-02-28,NULL,221,135,9
1064,2021-02-28,No,9148,9565,302
1065,2021-02-28,Yes,593,760,16
1066,2021-03-01,NULL,478,255,52
1067,2021-03-01,No,10639,10503,169
1068,2021-03-01,Yes,704,803,11
1069,2021-03-02,NULL,291,196,5
1070,2021-03-02,No,9894,10011,152
1071,2021-03-02,Yes,552,747,9
1072,2021-03-03,NULL,390,233,4
1073,2021-03-03,No,9818,10195,168
1074,2021-03-03,Yes,559,762,10
1075,2021-03-04,NULL,321,180,12
1076,2021-03-04,No,8403,9421,199
1077,2021-03-04,Yes,577,762,17
1078,2021-03-05,NULL,393,248,21
1079,2021-03-05,No,6540,6072,105
1080,2021-03-05,Yes,399,453,5
1081,2021-03-06,NULL,140,137,16
1082,2021-03-06,No,3585,3674,105
1083,2021-03-06,Yes,258,291,6
1084,2021-03-07,NULL,525,305,14
1085,2021-03-07,No,10340,10496,189
1086,2021-03-07,Yes,717,842,4
1087,2021-03-08,NULL,617,292,23
1088,2021-03-08,No,10011,9614,129
1089,2021-03-08,Yes,695,796,5
1090,2021-03-09,NULL,400,224,11
1091,2021-03-09,No,9510,9247,133
1092,2021-03-09,Yes,588,723,5
1093,2021-03-10,NULL,436,298,20
1094,2021-03-10,No,8386,8189,148
1095,2021-03-10,Yes,600,765,6
1096,2021-03-11,NULL,332,271,10
1097,2021-03-11,No,7772,7845,139
1098,2021-03-11,Yes,605,808,6
1099,2021-03-12,NULL,389,273,11
1100,2021-03-12,No,4773,4415,355
1101,2021-03-12,Yes,423,489,7
1102,2021-03-13,NULL,170,110,21
1103,2021-03-13,No,2493,2613,49
1104,2021-03-13,Yes,248,266,5
1105,2021-03-14,NULL,527,357,12
1106,2021-03-14,No,7618,7726,148
1107,2021-03-14,Yes,689,831,8
1108,2021-03-15,NULL,575,380,13
1109,2021-03-15,No,6750,6413,103
1110,2021-03-15,Yes,581,748,10
1111,2021-03-16,NULL,662,306,3
1112,2021-03-16,No,7227,6624,164
1113,2021-03-16,Yes,536,619,5
1114,2021-03-17,NULL,275,244,7
1115,2021-03-17,No,5618,5391,74
1116,2021-03-17,Yes,488,627,1
1117,2021-03-18,NULL,817,413,12
1118,2021-03-18,No,5685,5248,137
1119,2021-03-18,Yes,582,746,2
1120,2021-03-19,NULL,633,361,5
1121,2021-03-19,No,3591,3468,78
1122,2021-03-19,Yes,330,385,3
1123,2021-03-20,NULL,199,168,17
1124,2021-03-20,No,2113,2124,46
1125,2021-03-20,Yes,260,292,0
1126,2021-03-21,NULL,732,545,46
1127,2021-03-21,No,5714,5372,162
1128,2021-03-21,Yes,674,730,14
1129,2021-03-22,NULL,701,500,14
1130,2021-03-22,No,4971,4589,72
1131,2021-03-22,Yes,652,763,3
1132,2021-03-23,NULL,435,413,44
1133,2021-03-23,No,3166,2454,99
1134,2021-03-23,Yes,387,407,11
1135,2021-03-24,NULL,493,341,17
1136,2021-03-24,No,5985,5483,119
1137,2021-03-24,Yes,596,651,8
1138,2021-03-25,NULL,744,426,28
1139,2021-03-25,No,4680,4214,81
1140,2021-03-25,Yes,548,558,2
1141,2021-03-26,NULL,330,266,35
1142,2021-03-26,No,3508,3315,77
1143,2021-03-26,Yes,310,297,1
1144,2021-03-27,NULL,143,177,33
1145,2021-03-27,No,1676,1667,21
1146,2021-03-27,Yes,178,171,1
1147,2021-03-28,NULL,242,190,9
1148,2021-03-28,No,1502,1412,26
1149,2021-03-28,Yes,179,219,2
1150,2021-03-29,NULL,499,496,23
1151,2021-03-29,No,3975,3568,132
1152,2021-03-29,Yes,442,550,6
1153,2021-03-30,NULL,360,294,7
1154,2021-03-30,No,3600,3232,77
1155,2021-03-30,Yes,426,485,2
1156,2021-03-31,NULL,381,293,5
1157,2021-03-31,No,2929,2492,95
1158,2021-03-31,Yes,441,448,5
1159,2021-04-01,NULL,342,232,21
1160,2021-04-01,No,3186,2726,81
1161,2021-04-01,Yes,449,547,5
1162,2021-04-02,NULL,415,290,25
1163,2021-04-02,No,2263,2072,63
1164,2021-04-02,Yes,340,332,5
1165,2021-04-03,NULL,188,146,8
1166,2021-04-03,No,1171,1127,26
1167,2021-04-03,Yes,218,217,2
1168,2021-04-04,NULL,550,364,9
1169,2021-04-04,No,3034,2781,61
1170,2021-04-04,Yes,598,659,1
1171,2021-04-05,NULL,332,320,29
1172,2021-04-05,No,3078,2785,89
1173,2021-04-05,Yes,520,577,8
1174,2021-04-06,NULL,668,532,6
1175,2021-04-06,No,3485,3406,119
1176,2021-04-06,Yes,450,537,4
1177,2021-04-07,NULL,567,500,10
1178,2021-04-07,No,2934,2576,57
1179,2021-04-07,Yes,429,487,2
1180,2021-04-08,NULL,1030,627,13
1181,2021-04-08,No,2897,2457,44
1182,2021-04-08,Yes,445,498,3
1183,2021-04-09,NULL,896,440,19
1184,2021-04-09,No,1817,1620,47
1185,2021-04-09,Yes,312,376,1
1186,2021-04-10,NULL,276,206,15
1187,2021-04-10,No,853,922,44
1188,2021-04-10,Yes,217,230,3
1189,2021-04-11,NULL,703,527,57
1190,2021-04-11,No,3260,2750,137
1191,2021-04-11,Yes,457,545,11
1192,2021-04-12,NULL,1356,781,9
1193,2021-04-12,No,4809,3891,136
1194,2021-04-12,Yes,436,482,0
1195,2021-04-13,NULL,1367,839,18
1196,2021-04-13,No,4075,3806,137
1197,2021-04-13,Yes,408,477,4
1198,2021-04-14,NULL,1328,787,14
1199,2021-04-14,No,2286,2015,86
1200,2021-04-14,Yes,289,307,3
1201,2021-04-15,NULL,1220,707,16
1202,2021-04-15,No,982,730,27
1203,2021-04-15,Yes,233,219,2
1204,2021-04-16,NULL,816,477,28
1205,2021-04-16,No,2102,1940,122
1206,2021-04-16,Yes,422,448,8
1207,2021-04-17,NULL,214,190,13
1208,2021-04-17,No,817,760,47
1209,2021-04-17,Yes,200,214,8
1210,2021-04-18,NULL,715,478,38
1211,2021-04-18,No,2635,2464,80
1212,2021-04-18,Yes,556,596,0
1213,2021-04-19,NULL,903,609,14
1214,2021-04-19,No,2883,2449,85
1215,2021-04-19,Yes,451,493,5
1216,2021-04-20,NULL,766,478,24
1217,2021-04-20,No,3375,2841,97
1218,2021-04-20,Yes,443,484,4
1219,2021-04-21,NULL,846,529,10
1220,2021-04-21,No,2633,2127,82
1221,2021-04-21,Yes,363,368,4
1222,2021-04-22,NULL,919,528,16
1223,2021-04-22,No,2849,2150,81
1224,2021-04-22,Yes,410,440,6
1225,2021-04-23,NULL,525,364,35
1226,2021-04-23,No,2092,1748,122
1227,2021-04-23,Yes,282,262,2
1228,2021-04-24,NULL,195,196,10
1229,2021-04-24,No,771,695,42
1230,2021-04-24,Yes,140,139,1
1231,2021-04-25,NULL,940,527,80
1232,2021-04-25,No,2415,2245,98
1233,2021-04-25,Yes,452,482,2
1234,2021-04-26,NULL,1001,655,9
1235,2021-04-26,No,2722,2458,150
1236,2021-04-26,Yes,396,465,0
1237,2021-04-27,NULL,738,510,14
1238,2021-04-27,No,2930,2722,107
1239,2021-04-27,Yes,387,411,0
1240,2021-04-28,NULL,837,490,10
1241,2021-04-28,No,2684,2407,77
1242,2021-04-28,Yes,343,373,0
1243,2021-04-29,NULL,893,520,9
1244,2021-04-29,No,2402,1998,86
1245,2021-04-29,Yes,398,424,1
1246,2021-04-30,NULL,704,419,20
1247,2021-04-30,No,1807,1810,71
1248,2021-04-30,Yes,282,297,1
1249,2021-05-01,NULL,290,206,20
1250,2021-05-01,No,719,649,45
1251,2021-05-01,Yes,172,158,2
1252,2021-05-02,NULL,713,398,4
1253,2021-05-02,No,2374,2072,94
1254,2021-05-02,Yes,412,503,2
1255,2021-05-03,NULL,746,574,15
1256,2021-05-03,No,2484,2266,137
1257,2021-05-03,Yes,411,478,3
1258,2021-05-04,NULL,432,376,35
1259,2021-05-04,No,2646,2646,131
1260,2021-05-04,Yes,333,365,4
1261,2021-05-05,NULL,599,496,18
1262,2021-05-05,No,2336,2205,103
1263,2021-05-05,Yes,333,371,10
1264,2021-05-06,NULL,685,534,12
1265,2021-05-06,No,2346,1817,117
1266,2021-05-06,Yes,367,380,1
1267,2021-05-07,NULL,643,519,26
1268,2021-05-07,No,2063,1737,81
1269,2021-05-07,Yes,301,363,5
1270,2021-05-08,NULL,306,219,6
1271,2021-05-08,No,875,726,35
1272,2021-05-08,Yes,188,190,5
1273,2021-05-09,NULL,723,445,14
1274,2021-05-09,No,2718,2375,127
1275,2021-05-09,Yes,469,475,7
1276,2021-05-10,NULL,1030,691,20
1277,2021-05-10,No,2834,2519,128
1278,2021-05-10,Yes,429,476,9
1279,2021-05-11,NULL,628,546,33
1280,2021-05-11,No,3086,2725,138
1281,2021-05-11,Yes,312,331,6
1282,2021-05-12,NULL,598,488,18
1283,2021-05-12,No,2110,1961,58
1284,2021-05-12,Yes,252,289,2
1285,2021-05-13,NULL,403,332,13
1286,2021-05-13,No,1523,1114,47
1287,2021-05-13,Yes,205,197,0
1288,2021-05-14,NULL,342,305,14
1289,2021-05-14,No,1517,1204,11
1290,2021-05-14,Yes,244,257,3
1291,2021-05-15,NULL,92,104,19
1292,2021-05-15,No,241,221,21
1293,2021-05-15,Yes,59,85,1
1294,2021-05-16,NULL,505,425,28
1295,2021-05-16,No,1317,1044,84
1296,2021-05-16,Yes,237,233,6
1297,2021-05-17,NULL,227,202,29
1298,2021-05-17,No,390,409,18
1299,2021-05-17,Yes,91,112,3
1300,2021-05-18,NULL,497,471,15
1301,2021-05-18,No,1796,1797,84
1302,2021-05-18,Yes,318,390,3
1303,2021-05-19,NULL,392,403,3
1304,2021-05-19,No,1547,1449,79
1305,2021-05-19,Yes,219,264,4
1306,2021-05-20,NULL,536,646,14
1307,2021-05-20,No,1690,1372,64
1308,2021-05-20,Yes,234,330,3
1309,2021-05-21,NULL,565,546,33
1310,2021-05-21,No,1686,1400,22
1311,2021-05-21,Yes,247,275,4
1312,2021-05-22,NULL,146,140,14
1313,2021-05-22,No,630,496,33
1314,2021-05-22,Yes,111,144,0
1315,2021-05-23,NULL,530,519,20
1316,2021-05-23,No,1885,1653,90
1317,2021-05-23,Yes,412,470,6
1318,2021-05-24,NULL,717,868,12
1319,2021-05-24,No,2085,1969,77
1320,2021-05-24,Yes,406,498,6
1321,2021-05-25,NULL,526,637,27
1322,2021-05-25,No,2235,2154,124
1323,2021-05-25,Yes,347,411,4
1324,2021-05-26,NULL,636,725,49
1325,2021-05-26,No,1791,1790,68
1326,2021-05-26,Yes,309,347,5
1327,2021-05-27,NULL,830,783,53
1328,2021-05-27,No,2593,1799,78
1329,2021-05-27,Yes,402,378,8
1330,2021-05-28,NULL,996,780,40
1331,2021-05-28,No,2126,1502,43
1332,2021-05-28,Yes,326,328,3
1333,2021-05-29,NULL,309,296,34
1334,2021-05-29,No,632,525,30
1335,2021-05-29,Yes,154,171,2
1336,2021-05-30,NULL,864,762,35
1337,2021-05-30,No,1784,1431,82
1338,2021-05-30,Yes,465,489,8
1339,2021-05-31,NULL,772,1011,86
1340,2021-05-31,No,1410,1281,54
1341,2021-05-31,Yes,392,405,3
1342,2021-06-01,NULL,578,680,59
1343,2021-06-01,No,1290,1185,80
1344,2021-06-01,Yes,313,332,9
1345,2021-06-02,NULL,742,1092,47
1346,2021-06-02,No,980,1000,51
1347,2021-06-02,Yes,291,352,7
1348,2021-06-03,NULL,623,752,39
1349,2021-06-03,No,1119,1017,59
1350,2021-06-03,Yes,352,414,8
1351,2021-06-04,NULL,544,691,161
1352,2021-06-04,No,1045,930,88
1353,2021-06-04,Yes,310,308,10
1354,2021-06-05,NULL,304,406,45
1355,2021-06-05,No,677,651,3
1356,2021-06-05,Yes,164,191,1
1357,2021-06-06,NULL,766,780,51
1358,2021-06-06,No,1431,1240,56
1359,2021-06-06,Yes,396,452,9
1360,2021-06-07,NULL,967,1074,75
1361,2021-06-07,No,1223,1106,65
1362,2021-06-07,Yes,325,341,9
1363,2021-06-08,NULL,772,745,66
1364,2021-06-08,No,1215,1039,55
1365,2021-06-08,Yes,319,345,3
1366,2021-06-09,NULL,1055,982,40
1367,2021-06-09,No,1258,1122,67
1368,2021-06-09,Yes,289,309,6
1369,2021-06-10,NULL,1037,959,185
1370,2021-06-10,No,1640,1261,55
1371,2021-06-10,Yes,383,416,10
1372,2021-06-11,NULL,961,851,88
1373,2021-06-11,No,1185,1088,36
1374,2021-06-11,Yes,299,303,5
1375,2021-06-12,NULL,415,390,55
1376,2021-06-12,No,919,900,14
1377,2021-06-12,Yes,202,197,1
1378,2021-06-13,NULL,835,726,150
1379,2021-06-13,No,1587,1355,126
1380,2021-06-13,Yes,462,454,17
1381,2021-06-14,NULL,904,989,206
1382,2021-06-14,No,1776,1684,90
1383,2021-06-14,Yes,452,487,11
1384,2021-06-15,NULL,640,700,406
1385,2021-06-15,No,1301,1428,204
1386,2021-06-15,Yes,376,392,14
1387,2021-06-16,NULL,456,552,150
1388,2021-06-16,No,1567,1345,247
1389,2021-06-16,Yes,325,418,33
1390,2021-06-17,NULL,423,654,141
1391,2021-06-17,No,1222,1381,245
1392,2021-06-17,Yes,354,386,35
1393,2021-06-18,NULL,339,616,471
1394,2021-06-18,No,1414,1967,260
1395,2021-06-18,Yes,386,555,32
1396,2021-06-19,NULL,130,155,713
1397,2021-06-19,No,865,887,211
1398,2021-06-19,Yes,202,228,25
1399,2021-06-20,NULL,468,540,707
1400,2021-06-20,No,2026,1927,320
1401,2021-06-20,Yes,433,486,36
1402,2021-06-21,NULL,246,595,431
1403,2021-06-21,No,2666,3149,480
1404,2021-06-21,Yes,535,721,65
1405,2021-06-22,NULL,306,346,481
1406,2021-06-22,No,2167,2177,648
1407,2021-06-22,Yes,410,488,81
1408,2021-06-23,NULL,225,381,631
1409,2021-06-23,No,2294,2598,586
1410,2021-06-23,Yes,456,595,54
1411,2021-06-24,NULL,268,717,454
1412,2021-06-24,No,2349,2961,458
1413,2021-06-24,Yes,511,717,52
1414,2021-06-25,NULL,228,200,1614
1415,2021-06-25,No,2524,2426,1207
1416,2021-06-25,Yes,597,624,148
1417,2021-06-26,NULL,113,98,401
1418,2021-06-26,No,1547,1388,520
1419,2021-06-26,Yes,322,315,56
1420,2021-06-27,NULL,340,312,623
1421,2021-06-27,No,2759,2690,652
1422,2021-06-27,Yes,586,700,68
1423,2021-06-28,NULL,329,426,1382
1424,2021-06-28,No,3114,3595,746
1425,2021-06-28,Yes,717,907,102
1426,2021-06-29,NULL,428,812,364
1427,2021-06-29,No,2937,3903,475
1428,2021-06-29,Yes,667,904,68
1429,2021-06-30,NULL,351,235,684
1430,2021-06-30,No,2949,2779,1000
1431,2021-06-30,Yes,649,770,109
1432,2021-07-01,NULL,253,241,1215
1433,2021-07-01,No,3138,3075,1109
1434,2021-07-01,Yes,757,802,176
1435,2021-07-02,NULL,220,412,584
1436,2021-07-02,No,2964,3515,1000
1437,2021-07-02,Yes,709,840,122
1438,2021-07-03,NULL,146,447,85
1439,2021-07-03,No,1554,2499,53
1440,2021-07-03,Yes,296,457,5
1441,2021-07-04,NULL,411,494,198
1442,2021-07-04,No,3147,3750,396
1443,2021-07-04,Yes,628,874,54
