age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,28,137,374,108.2,63.1,40,0,0,0,0,0,0
12-15,11,163,107,35.9,52.3,39.6,0,0,0,0,0,0
16-19,14,402,88,43.9,96.7,66.5,0,0,1,0,0,0.8
20-29,61,1450,326,76,138.5,189.1,0,4,1,0,0.4,0.6
30-39,67,1643,405,75.3,167.9,322.8,0,3,2,0,0.3,1.6
40-49,90,1695,272,103.3,185.6,275.6,0,1,0,0,0.1,0
50-59,136,1752,224,173.6,239.7,391.7,0,11,4,0,1.5,7
60-69,284,3951,336,477,632.7,592.9,1,31,11,1.7,5,19.4
70-79,279,4159,287,670.5,907.4,1529,5,51,5,12,11.1,26.6
80+,254,3566,337,1229.1,1479.2,2032.7,8,71,20,38.7,29.5,120.6
