age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,2.5,79.3,18.2
12-15,65.6,54.7,14.9,0,5.4,44.1,50.5
16-19,89.3,78.3,46,0.2,5.9,22.8,71.3
20-29,85.6,77.1,54.8,0.9,6.6,13.3,80.2
30-39,89,82,59.7,2,7.9,10.5,81.6
40-49,90.6,84.7,67.1,3.5,8.4,9,82.6
50-59,91.2,86.6,73.3,7.3,9.5,6.6,83.9
60-69,93.2,90.3,80.9,34.1,8.4,7.7,84
70-79,92.1,90.7,87.4,54.6,8.3,3.6,88
80+,95.3,93.3,87.5,58.1,7.8,6,86.3
