age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,66050,262,29,5.3,0,0,0.03,99.97,0
12-15,377221,304188,1781,59.3,47.8,0.3,58.48,41.51,0.01
16-19,518260,450720,208173,87.6,76.2,35.2,64.19,20.91,14.9
20-29,1111830,992996,656303,84.3,75.3,49.7,66.45,15.82,17.73
30-39,1061204,972457,663851,87.9,80.6,55,69.9,12.67,17.43
40-49,996314,925832,700128,89.7,83.3,63,76.09,10.57,13.34
50-59,791231,745124,609509,90.5,85.2,69.7,80.45,8.95,10.6
60-69,689670,663402,578897,92.3,88.8,77.5,85.53,7.68,6.79
70-79,476920,466447,438721,90.5,88.5,83.3,88.14,6.67,5.19
80-89,215834,210426,192041,90.4,88.1,80.4,85.19,7.54,7.27
90+,49129,47331,42067,83.7,80.6,71.7,75.5,11.62,12.89
