age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,0,2210,0,0,189.8,0,0,0,0,0,0
12-15,77,0,361,21.7,0,143.2,0,0,0,0,0,0
16-19,29,40,106,7.9,47,88.7,0,0,1,0,0,0.8
20-29,81,134,229,9.5,59,113,0,1,6,0,0.4,3
30-39,160,174,218,19.5,84.9,146.4,1,1,8,0.1,0.5,5.4
40-49,163,112,175,19.7,77.1,152.1,0,1,19,0,0.7,16.5
50-59,81,27,102,11.7,29.6,132.3,1,2,22,0.1,2.2,28.5
60-69,50,26,70,7.9,51.7,123.1,2,2,19,0.3,4,33.4
70-79,36,11,39,7.8,40.5,111.8,5,1,12,1.1,3.7,34.4
80-89,21,8,22,10.5,46.7,123.7,2,1,2,1,5.8,11.2
90+,2,2,5,4.6,27.2,75.3,0,0,3,0,0,45.2
