age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,38,0,310,10.7,0,122.2,0,0,0,0,0,0
16-19,26,38,120,7.2,42.5,99.6,0,0,0,0,0,0
20-29,58,123,290,6.9,52.7,140.2,0,2,6,0,0.9,2.9
30-39,130,159,293,16,75.6,193.2,0,0,8,0,0,5.3
40-49,132,109,228,16,73.1,194.9,1,0,19,0.1,0,16.2
50-59,61,45,141,8.8,48.3,178.5,1,2,27,0.1,2.1,34.2
60-69,51,32,77,8.1,62.7,133.4,3,2,26,0.5,3.9,45.1
70-79,49,13,40,10.7,47.2,109.9,7,1,14,1.5,3.6,38.5
80-89,16,7,26,8,40.4,141.9,2,0,6,1,0,32.7
90+,5,1,4,11.7,13.5,58,0,0,0,0,0,0
