period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,375,2635,1.41,9.94
3_Month,5-11,1516,31734,0.43,8.95
6_Month,5-11,1790,39498,0.39,8.54
1_Year,5-11,1790,40944,0.31,7.05
All,5-11,1790,41075,0.26,6.02
1_Month,12-15,484,733,3.69,5.59
3_Month,12-15,5063,9808,3.18,6.16
6_Month,12-15,6771,14600,3.09,6.67
1_Year,12-15,6857,15608,2.66,6.05
All,12-15,6857,15766,2.11,4.84
1_Month,16-19,740,336,5.91,2.68
3_Month,16-19,7369,4570,5.79,3.59
6_Month,16-19,10873,8678,6.13,4.89
1_Year,16-19,11106,9579,5.43,4.68
All,16-19,11115,9847,3.87,3.43
1_Month,20-29,2605,720,6.5,1.8
3_Month,20-29,18309,9280,6.84,3.47
6_Month,20-29,25561,15866,6.95,4.31
1_Year,20-29,26117,17793,6.02,4.1
All,20-29,26138,18217,4.44,3.1
1_Month,30-39,2563,817,5.65,1.8
3_Month,30-39,17707,9368,5.74,3.03
6_Month,30-39,22981,14003,5.8,3.53
1_Year,30-39,23431,15369,5.05,3.31
All,30-39,23465,15664,4.05,2.7
1_Month,40-49,2144,606,5.02,1.42
3_Month,40-49,15130,6690,5.35,2.36
6_Month,40-49,20062,10307,5.52,2.83
1_Year,40-49,20426,11128,4.92,2.68
All,40-49,20461,11341,3.98,2.21
1_Month,50-59,1421,358,4.2,1.06
3_Month,50-59,9375,3594,4.92,1.89
6_Month,50-59,12310,5507,5.11,2.28
1_Year,50-59,12514,5839,4.64,2.16
All,50-59,12548,5992,3.68,1.75
1_Month,60-69,878,188,3.1,0.66
3_Month,60-69,5076,1892,3.94,1.47
6_Month,60-69,6851,2884,4.16,1.75
1_Year,60-69,6972,2998,3.81,1.64
All,60-69,6996,3073,3.05,1.34
1_Month,70-79,363,54,1.94,0.29
3_Month,70-79,1967,549,2.8,0.78
6_Month,70-79,2702,799,3.03,0.9
1_Year,70-79,2772,837,2.8,0.85
All,70-79,2787,881,2.28,0.72
1_Month,80-89,148,24,2.17,0.35
3_Month,80-89,878,255,3.18,0.92
6_Month,80-89,1175,349,3.44,1.02
1_Year,80-89,1214,361,3.13,0.93
All,80-89,1227,391,2.4,0.77
1_Month,90+,50,6,3.26,0.39
3_Month,90+,306,63,4.3,0.89
6_Month,90+,412,88,4.73,1.01
1_Year,90+,430,91,4.31,0.91
All,90+,437,103,3.11,0.73
