age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,682,0,1177,235.4,,128.1,0,0,1,0,,0.1
12-15,411,176,288,143.6,211.9,115,0,0,0,0,0,0
16-19,783,105,236,203.2,139,200.3,1,0,1,0.3,0,0.8
20-29,2514,244,610,262.2,153.8,342.8,0,0,1,0,0,0.6
30-39,3246,293,732,352.8,217.7,552.7,2,1,3,0.2,0.7,2.3
40-49,3034,195,605,338.9,197.5,591.8,6,2,3,0.7,2,2.9
50-59,2514,140,514,342.3,207.2,805.7,9,1,9,1.2,1.5,14.1
60-69,3847,132,583,591.3,341.2,1089.1,34,2,8,5.2,5.2,14.9
70-79,3188,74,407,661.4,334.9,2031.5,36,2,6,7.5,9.1,29.9
80-89,1568,62,223,732.5,417.9,2940.8,36,2,14,16.8,13.5,184.6
90+,512,19,68,1006.7,261.7,,26,3,7,51.1,41.3,
