age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,14,123,276,218.9,54.3,29.3,0,0,0,0,0,0
12-15,11,198,85,155.1,60.5,30.9,0,0,0,0,0,0
16-19,11,193,47,234.1,43.9,34.9,0,0,0,0,0,0
20-29,21,556,78,147.9,49.9,46,0,2,2,0,0.2,1.2
30-39,26,646,98,180.2,61.4,78.7,0,2,0,0,0.2,0
40-49,29,783,87,165.6,79.6,89.8,0,1,1,0,0.1,1
50-59,46,714,75,195.8,90.6,138,0,4,3,0,0.5,5.5
60-69,84,1094,69,295.2,166.7,123.6,0,10,6,0,1.5,10.7
70-79,87,1308,62,388.1,271.5,429.7,1,19,4,4.5,3.9,27.7
80+,40,817,55,392.6,323.9,348.5,1,25,8,9.8,9.9,50.7
