instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,62.5,55.4,2022-09-18T00:00:00.000Z
Rabin K. Hasharon             ,65.8,61.8,2022-09-18T00:00:00.000Z
Woolfson Medical Center       ,67.2,70.6,2022-09-18T00:00:00.000Z
Soroka Medical Center         ,72.1,83.5,2022-09-18T00:00:00.000Z
Bnei Ziom Medical Center      ,74.4,82.2,2022-09-18T00:00:00.000Z
Hacarmel Hospital             ,79.2,76.7,2022-09-18T00:00:00.000Z
Hadassah Mount Scopus         ,83.3,63.9,2022-09-18T00:00:00.000Z
Hillel Yaffeh Medical Center  ,84.9,78.8,2022-09-18T00:00:00.000Z
Poriah Hospital               ,87.2,85.4,2022-09-18T00:00:00.000Z
Barzilai Medical Center       ,89.1,78,2022-09-18T00:00:00.000Z
Meir Hospital                 ,89,94.6,2022-09-18T00:00:00.000Z
Rambam                        ,89.4,86.4,2022-09-18T00:00:00.000Z
Assaf Harofeh Medical Center  ,90.7,72.4,2022-09-18T00:00:00.000Z
Laniado                       ,92.3,104.5,2022-09-18T00:00:00.000Z
      Ziv Hospital            ,95.3,77.2,2022-09-18T00:00:00.000Z
Shmuel Harofe                 ,100,84.2,2022-09-18T00:00:00.000Z
Haemek Valley Center Hospital ,105.8,79.5,2022-09-18T00:00:00.000Z
Hadassah Ein Kerem            ,116.5,97.6,2022-09-18T00:00:00.000Z
Rabin K. Beilinson            ,125.1,94.4,2022-09-18T00:00:00.000Z
Assuta Ashdod                 ,132.2,106.1,2022-09-18T00:00:00.000Z
,,40.1,2022-09-18T00:00:00.000Z
Nahariya                      ,118.4,93,2022-09-18T00:00:00.000Z
Kaplan Hospital               ,126.7,107.6,2022-09-18T00:00:00.000Z
