period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,159,477,11.25,33.76
3_Month,5-11,2681,9673,8.86,31.96
6_Month,5-11,3405,14530,4.68,19.96
1_Year,5-11,4756,51436,0.85,9.25
All,5-11,4756,52446,0.66,7.26
1_Month,12-15,137,151,17.1,18.85
3_Month,12-15,1720,2292,12.16,16.21
6_Month,12-15,2528,3643,7.03,10.13
1_Year,12-15,8705,17674,3.43,6.97
All,12-15,8733,18647,2.53,5.4
1_Month,16-19,256,75,25.42,7.45
3_Month,16-19,3278,1074,20.3,6.65
6_Month,16-19,4486,1654,12.6,4.64
1_Year,16-19,14521,10256,7,4.95
All,16-19,14688,11158,4.78,3.63
1_Month,20-29,885,172,23.91,4.65
3_Month,20-29,10087,2742,19.92,5.42
6_Month,20-29,14061,4119,12.62,3.7
1_Year,20-29,36763,19966,8.1,4.4
All,20-29,37097,21582,5.69,3.31
1_Month,30-39,980,253,22.1,5.71
3_Month,30-39,11510,3487,18.33,5.55
6_Month,30-39,15535,5015,11.55,3.73
1_Year,30-39,35715,18720,7.13,3.73
All,30-39,35993,19822,5.46,3.01
1_Month,40-49,979,191,21.02,4.1
3_Month,40-49,10866,2656,17.18,4.2
6_Month,40-49,14366,3825,10.84,2.89
1_Year,40-49,32007,13823,6.94,3
All,40-49,32285,14528,5.43,2.44
1_Month,50-59,766,124,16.41,2.66
3_Month,50-59,7691,1592,12.84,2.66
6_Month,50-59,10097,2296,8.67,1.97
1_Year,50-59,20797,7536,6.41,2.32
All,50-59,20966,7885,5.03,1.89
1_Month,60-69,653,96,11.36,1.67
3_Month,60-69,5819,909,8.9,1.39
6_Month,60-69,7454,1268,6.44,1.1
1_Year,60-69,13284,3971,5.28,1.58
All,60-69,13417,4139,4.31,1.33
1_Month,70-79,485,44,8.54,0.77
3_Month,70-79,3688,389,6.29,0.66
6_Month,70-79,4458,506,4.71,0.53
1_Year,70-79,6749,1264,4.11,0.77
All,70-79,6818,1339,3.5,0.69
1_Month,80+,413,33,11.73,0.94
3_Month,80+,2560,262,7.92,0.81
6_Month,80+,2987,342,6.16,0.71
1_Year,80+,4349,749,5.24,0.9
All,80+,4419,808,4.26,0.78
