period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,744,2473,10.28,34.17
3_Month,5-11,2754,10113,8.27,30.39
6_Month,5-11,3619,18972,2.92,15.29
1_Year,5-11,4632,51577,0.77,8.55
All,5-11,4632,52080,0.64,7.22
1_Month,12-15,425,514,14.48,17.51
3_Month,12-15,1764,2405,10.9,14.86
6_Month,12-15,3126,4756,5.37,8.17
1_Year,12-15,8616,18076,3.19,6.69
All,12-15,8623,18532,2.5,5.38
1_Month,16-19,1084,315,23.91,6.95
3_Month,16-19,3279,1087,18.94,6.28
6_Month,16-19,5243,1978,9.96,3.76
1_Year,16-19,14395,10696,6.55,4.87
All,16-19,14481,11103,4.72,3.62
1_Month,20-29,3642,880,23.05,5.57
3_Month,20-29,9961,2797,18.43,5.18
6_Month,20-29,15600,4771,10.85,3.32
1_Year,20-29,36258,20759,7.48,4.29
All,20-29,36396,21458,5.61,3.31
1_Month,30-39,4251,1138,22.05,5.9
3_Month,30-39,11391,3548,16.92,5.27
6_Month,30-39,17134,5708,9.79,3.26
1_Year,30-39,35143,19160,6.63,3.62
All,30-39,35280,19644,5.38,3
1_Month,40-49,3721,877,20,4.71
3_Month,40-49,10702,2690,15.74,3.96
6_Month,40-49,15549,4270,9.13,2.51
1_Year,40-49,31364,14047,6.51,2.91
All,40-49,31514,14387,5.34,2.44
1_Month,50-59,2761,503,15.4,2.8
3_Month,50-59,7562,1579,11.77,2.46
6_Month,50-59,10786,2509,7.67,1.79
1_Year,50-59,20279,7569,6.05,2.26
All,50-59,20384,7784,4.93,1.88
1_Month,60-69,2192,300,10.73,1.47
3_Month,60-69,5687,890,8.18,1.28
6_Month,60-69,7614,1368,5.87,1.05
1_Year,60-69,12838,3956,5.03,1.55
All,60-69,12931,4072,4.21,1.33
1_Month,70-79,1440,136,7.76,0.73
3_Month,70-79,3525,374,5.7,0.6
6_Month,70-79,4315,534,4.29,0.53
1_Year,70-79,6407,1244,3.91,0.76
All,70-79,6448,1306,3.38,0.69
1_Month,80+,1109,125,9.45,1.07
3_Month,80+,2358,253,7.15,0.77
6_Month,80+,2854,356,5.61,0.7
1_Year,80+,4080,726,4.92,0.88
All,80+,4129,782,4.08,0.77
