age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,2,79.4,18.6
12-15,65.6,54.7,14.9,0,4.7,44.1,51.2
16-19,89.3,78.3,46,0.2,5.1,22.9,72
20-29,85.6,77.1,54.8,0.9,5.8,13.3,80.9
30-39,89,82,59.7,2,7,10.5,82.4
40-49,90.6,84.7,67.1,3.5,7.5,9,83.5
50-59,91.2,86.6,73.3,7.3,8.6,6.6,84.8
60-69,93.2,90.3,80.9,34.1,7.7,7.6,84.7
70-79,92.1,90.7,87.4,54.6,7.7,3.6,88.7
80+,95.3,93.3,87.5,58.1,7.1,5.9,87
