period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,203,1068,3.17,16.66
3_Month,5-11,798,6993,1.16,10.15
6_Month,5-11,1933,40473,0.42,8.78
1_Year,5-11,1933,41926,0.33,7.15
All,5-11,1933,42139,0.28,6.12
1_Month,12-15,181,256,5.21,7.37
3_Month,12-15,1135,1862,3.43,5.63
6_Month,12-15,6869,14867,3.11,6.74
1_Year,12-15,6928,15880,2.66,6.09
All,12-15,6928,16109,2.11,4.9
1_Month,16-19,224,91,8.62,3.5
3_Month,16-19,1637,762,5.66,2.64
6_Month,16-19,11043,8765,6.17,4.9
1_Year,16-19,11223,9743,5.42,4.71
All,16-19,11234,10020,3.88,3.46
1_Month,20-29,690,215,8.4,2.62
3_Month,20-29,4915,1721,6.27,2.19
6_Month,20-29,26068,16133,6.98,4.32
1_Year,20-29,26493,18229,6,4.13
All,20-29,26520,18676,4.45,3.13
1_Month,30-39,821,266,7.05,2.28
3_Month,30-39,4970,1852,5.35,1.99
6_Month,30-39,23582,14317,5.82,3.54
1_Year,30-39,23945,15837,5.05,3.34
All,30-39,23991,16148,4.07,2.74
1_Month,40-49,698,188,6.08,1.64
3_Month,40-49,4238,1387,4.79,1.57
6_Month,40-49,20570,10569,5.52,2.84
1_Year,40-49,20866,11486,4.9,2.7
All,40-49,20911,11717,3.99,2.24
1_Month,50-59,492,104,4.91,1.04
3_Month,50-59,2842,811,4.18,1.19
6_Month,50-59,12670,5660,5.08,2.27
1_Year,50-59,12833,6042,4.6,2.17
All,50-59,12876,6202,3.67,1.77
1_Month,60-69,377,55,3.57,0.52
3_Month,60-69,1742,417,3.14,0.75
6_Month,60-69,7152,2965,4.11,1.7
1_Year,60-69,7254,3103,3.77,1.61
All,60-69,7280,3182,3.05,1.33
1_Month,70-79,192,25,2.28,0.3
3_Month,70-79,742,144,2.02,0.39
6_Month,70-79,2864,838,2.96,0.87
1_Year,70-79,2927,881,2.74,0.83
All,70-79,2945,928,2.27,0.71
1_Month,80+,139,25,3.41,0.61
3_Month,80+,455,87,2.73,0.52
6_Month,80+,1707,461,3.68,0.99
1_Year,80+,1754,483,3.34,0.92
All,80+,1778,528,2.58,0.77
