age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.6,15.2,0,0,19.67,80.33,0
12-15,65.3,53.6,13.3,0,59.06,39.54,1.4
16-19,89.2,77.8,44.8,0,69.54,19.88,10.58
20-29,85.5,76.6,53.8,0.3,71.92,14.35,13.74
30-39,88.9,81.6,59,0.8,74.91,11.5,13.6
40-49,90.4,84.3,66.3,1.2,79.8,9.66,10.54
50-59,91,86,72.5,2.1,83.36,7.97,8.67
60-69,92.7,89.6,79.9,26.8,87.01,7.25,5.74
70-79,90.8,89.2,85.6,44.4,90.17,5.34,4.49
80-89,90.8,88.9,83,46.4,87.77,5.71,6.52
90+,84.3,81.5,75.5,44.1,80.97,6.62,12.4
