age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,10508,10,61833,4586.7,,6779.3,0,0,1,0,,0.1
12-15,22482,522,14717,6259.6,5021.2,6098.1,1,0,4,0.3,0,1.7
16-19,20196,3878,6616,5040.8,6413.2,5780.4,1,0,2,0.2,0,1.7
20-29,41457,10166,11753,4458.8,5799.5,6355.7,4,2,9,0.4,1.1,4.9
30-39,46419,11149,12347,5230.6,7014.1,9089.4,10,2,10,1.1,1.3,7.4
40-49,45541,7098,8829,5214.1,6223.9,8372.7,9,3,21,1,2.6,19.9
50-59,30924,3542,4738,4289.6,4762.9,6891.2,29,15,39,4,20.2,56.7
60-69,22495,1950,3083,3484.3,4602.5,5731.4,67,16,52,10.4,37.8,96.7
70-79,12715,811,1511,2691.8,3456.8,5426.9,131,31,74,27.7,132.1,265.8
80-89,5890,380,829,2842.1,2472.2,6166.8,162,21,78,78.2,136.6,580.2
90+,1812,95,288,3916,1341.8,7678,50,10,34,108.1,141.2,906.4
