instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,57,60.2,2022-08-18T00:00:00.000Z
Yosephtal Hospital            ,68.8,46.2,2022-08-18T00:00:00.000Z
Soroka Medical Center         ,69.8,78.3,2022-08-18T00:00:00.000Z
Hacarmel Hospital             ,70.8,76.7,2022-08-18T00:00:00.000Z
Meir Hospital                 ,71.5,83.3,2022-08-18T00:00:00.000Z
Poriah Hospital               ,73.1,78.9,2022-08-18T00:00:00.000Z
Haemek Valley Center Hospital ,75.5,74.6,2022-08-18T00:00:00.000Z
Woolfson Medical Center       ,76.2,77.3,2022-08-18T00:00:00.000Z
Hadassah Mount Scopus         ,77.8,80.2,2022-08-18T00:00:00.000Z
Assaf Harofeh Medical Center  ,79.5,70.2,2022-08-18T00:00:00.000Z
      Ziv Hospital            ,82.8,78.7,2022-08-18T00:00:00.000Z
Bnei Ziom Medical Center      ,85.1,91.2,2022-08-18T00:00:00.000Z
Hillel Yaffeh Medical Center  ,89.7,87,2022-08-18T00:00:00.000Z
Chaim Sheba Medical Center    ,95,104.6,2022-08-18T00:00:00.000Z
Barzilai Medical Center       ,96.9,87.1,2022-08-18T00:00:00.000Z
Shmuel Harofe                 ,100,81.5,2022-08-18T00:00:00.000Z
Rambam                        ,101.5,95.3,2022-08-18T00:00:00.000Z
Nahariya                      ,110,94.1,2022-08-18T00:00:00.000Z
Rabin K. Beilinson            ,111,96.5,2022-08-18T00:00:00.000Z
Kaplan Hospital               ,115.3,95.9,2022-08-18T00:00:00.000Z
Hadassah Ein Kerem            ,123.3,96.7,2022-08-18T00:00:00.000Z
