age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,363327,298244,635971,57.1,46.9,546,0.1,58.17,41.81,0.01
16-19,515372,447378,591331,87.2,75.7,197578,33.4,62.71,21.29,15.99
20-29,1106057,987060,1319364,83.8,74.8,635712,48.2,65.14,16.42,18.44
30-39,1057138,968507,1207243,87.6,80.2,646225,53.5,68.88,13.06,18.06
40-49,993703,922834,1110965,89.4,83.1,688490,62,75.31,10.85,13.84
50-59,789626,743087,874608,90.3,85,602653,68.9,79.79,9.32,10.9
60-69,688706,662036,747217,92.2,88.6,574990,77,85.2,7.86,6.94
70-79,476396,465719,526929,90.4,88.4,436611,82.9,87.55,7.16,5.28
80-89,215614,210054,238729,90.3,88,191101,80,84.68,7.96,7.36
90+,49058,47248,58687,83.6,80.5,41784,71.2,74.69,12.42,12.89
