age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.28,75.72,0
12-15,65.5,54.4,14.2,0,54.02,39.55,6.43
16-19,89.3,78,45.5,0.1,69.76,19.96,10.28
20-29,85.6,76.8,54.3,0.6,74.15,14,11.85
30-39,89,81.9,59.3,1.5,77.47,11.31,11.22
40-49,90.5,84.5,66.6,2.5,81.67,9.45,8.88
50-59,91.1,86.2,72.8,5,84.67,7.68,7.65
60-69,92.7,89.8,80.1,30,87.71,7.14,5.15
70-79,90.9,89.4,85.9,48.6,91.26,4.57,4.17
80-89,90.8,89,83.4,50.9,88.82,5.02,6.16
90+,84.4,81.7,76,48.9,83.07,4.85,12.08
