period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
All,5-11,1286,37238,0.2,5.8
1_Year,5-11,1286,37151,0.23,6.72
6_Month,5-11,1286,36480,0.26,7.41
3_Month,5-11,1286,35549,0.31,8.64
1_Month,5-11,607,12638,0.44,9.13
All,12-15,6196,14729,2.02,4.81
1_Year,12-15,6196,14604,2.53,5.96
6_Month,12-15,6156,14024,2.8,6.37
3_Month,12-15,6102,13523,3.09,6.85
1_Month,12-15,1889,3310,3.28,5.75
1_Month,16-19,2447,1192,5.74,2.79
6_Month,16-19,9946,8707,5.74,5.03
1_Year,16-19,10093,9164,5.3,4.81
All,16-19,10102,9411,3.75,3.5
3_Month,16-19,9852,8204,6.23,5.18
1_Month,20-29,5539,2269,6.86,2.81
1_Year,20-29,22714,16909,5.84,4.35
All,20-29,22726,17271,4.26,3.23
3_Month,20-29,22128,14851,7.11,4.77
6_Month,20-29,22416,16006,6.49,4.63
6_Month,30-39,19890,13755,5.4,3.74
3_Month,30-39,19628,12865,5.91,3.88
1_Month,30-39,5838,2594,5.57,2.48
All,30-39,20137,14605,3.89,2.82
1_Year,30-39,20131,14376,4.9,3.5
1_Month,40-49,4824,1820,4.99,1.88
3_Month,40-49,17258,9484,5.7,3.13
6_Month,40-49,17459,10024,5.33,3.06
All,40-49,17684,10560,3.89,2.32
1_Year,40-49,17672,10386,4.87,2.86
6_Month,50-59,10525,5226,5.11,2.54
1_Month,50-59,3031,961,4.91,1.56
3_Month,50-59,10419,5002,5.36,2.57
1_Year,50-59,10658,5377,4.68,2.36
All,50-59,10668,5508,3.61,1.86
All,60-69,5831,2817,3.03,1.47
6_Month,60-69,5734,2688,4.29,2.01
3_Month,60-69,5682,2621,4.46,2.06
1_Month,60-69,1549,510,3.89,1.28
1_Year,60-69,5824,2755,3.93,1.86
1_Month,70-79,562,182,2.7,0.88
3_Month,70-79,2232,732,3.44,1.13
6_Month,70-79,2265,754,3.33,1.11
1_Year,70-79,2315,780,3.04,1.03
All,70-79,2322,816,2.37,0.83
All,80-89,1032,356,2.43,0.84
1_Year,80-89,1022,328,3.32,1.07
3_Month,80-89,981,312,3.87,1.23
1_Month,80-89,251,87,2.93,1.02
6_Month,80-89,994,321,3.69,1.19
1_Month,90+,78,19,3.48,0.85
3_Month,90+,347,79,5.15,1.17
6_Month,90+,352,80,4.92,1.12
1_Year,90+,369,84,4.49,1.02
All,90+,372,95,3.08,0.79
