age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2625,2,4933,896.7,,540.3,0,0,2,0,,0.2
12-15,2142,474,1102,640.3,1190.5,450,2,0,1,0.6,0,0.4
16-19,2998,449,691,742.9,755.1,598.5,3,0,1,0.7,0,0.9
20-29,5856,736,1307,609.9,479.7,721,0,0,3,0,0,1.7
30-39,7711,993,1619,838.8,746.1,1207,5,1,8,0.5,0.8,6
40-49,7263,650,1262,811.5,668,1219.1,11,7,11,1.2,7.2,10.6
50-59,5242,443,868,715.1,669.3,1305.2,27,9,27,3.7,13.6,40.6
60-69,5356,374,873,822.2,978.2,1645.5,58,10,39,8.9,26.2,73.5
70-79,3460,214,596,723.3,979.7,2488.6,66,15,58,13.8,68.7,242.2
80-89,2045,150,451,974,1030.8,3800.8,69,13,56,32.9,89.3,471.9
90+,731,42,172,1538,607.6,6202.7,22,5,14,46.3,72.3,504.9
