age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,314131,220809,635971,49.4,34.7,199,0
16-19,485327,415815,591331,82.1,70.3,82081,13.9
20-29,1056110,955841,1319364,80,72.4,285839,21.7
30-39,1021363,944096,1207243,84.6,78.2,355701,29.5
40-49,967726,903414,1110965,87.1,81.3,473431,42.6
50-59,774136,729525,874608,88.5,83.4,478280,54.7
60-69,681029,653129,747217,91.1,87.4,513783,68.8
70-79,472879,460576,526929,89.7,87.4,407215,77.3
80-89,214014,207918,238729,89.6,87.1,177729,74.4
90+,48656,46772,58687,82.9,79.7,38045,64.8
