instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. HaSharon             ,60.5,57.3,2022-06-19T00:00:00.000Z
SOROKA MEDICAL CENTER         ,68.6,79.2,2022-06-19T00:00:00.000Z
PORIAH HOSPITAL               ,84.6,71.5,2022-06-19T00:00:00.000Z
HACARMEL HOSPITAL             ,85.8,73.2,2022-06-19T00:00:00.000Z
WOOLFSON MEDICAL CENTER       ,85.7,72.2,2022-06-19T00:00:00.000Z
MEIR HOSPITAL                 ,86.5,88,2022-06-19T00:00:00.000Z
YOSEPHTAL HOSPITAL            ,93.8,38.5,2022-06-19T00:00:00.000Z
Hadassah Mount Scopus         ,94.4,74.3,2022-06-19T00:00:00.000Z
BARZILAI MEDICAL CENTER       ,95.8,75,2022-06-19T00:00:00.000Z
HAEMEK VALLEY CENTER HOSPITAL ,96.8,79.2,2022-06-19T00:00:00.000Z
      ZIV HOSPITAL            ,96.9,71.8,2022-06-19T00:00:00.000Z
TEL AVIV MEDICAL CENTER       ,97.7,112.4,2022-06-19T00:00:00.000Z
Rambam                        ,98.5,83.1,2022-06-19T00:00:00.000Z
Shaare Zedek                  ,98.7,100.5,2022-06-19T00:00:00.000Z
ASSAF HAROFEH MEDICAL CENTER  ,99.2,73.5,2022-06-19T00:00:00.000Z
BNEI ZIOM MEDICAL CENTER      ,100,84.3,2022-06-19T00:00:00.000Z
HILLEL YAFFEH MEDICAL CENTER  ,100,89.5,2022-06-19T00:00:00.000Z
Shmuel HaRofe                 ,105.6,85.3,2022-06-19T00:00:00.000Z
Assuta Ashdod                 ,106.8,102.7,2022-06-19T00:00:00.000Z
KAPLAN HOSPITAL               ,108,105.3,2022-06-19T00:00:00.000Z
Rabin K. Beilinson            ,108.8,91.8,2022-06-19T00:00:00.000Z
Laniado                       ,109,95,2022-06-19T00:00:00.000Z
CHAIM SHEBA MEDICAL CENTER    ,110.9,103.4,2022-06-19T00:00:00.000Z
Hadassah Ein Kerem            ,116.5,89.2,2022-06-19T00:00:00.000Z
NAHARIYA                      ,118.4,92.1,2022-06-19T00:00:00.000Z
