age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,215545,82913,35,17.4,6.7,0,6.18,93.82,0
12-15,399054,322576,28415,62.7,50.7,4.5,59.06,40.92,0.02
16-19,522643,454901,231782,88.4,76.9,39.2,66.41,20.48,13.11
20-29,1120389,1001608,683834,84.9,75.9,51.8,68.62,15.08,16.31
30-39,1067315,978646,688292,88.4,81.1,57,71.82,12.09,16.09
40-49,1000553,930616,717211,90.1,83.8,64.6,77.5,10.15,12.35
50-59,793665,748378,620035,90.7,85.6,70.9,81.61,8.46,9.92
60-69,691181,665640,585045,92.5,89.1,78.3,86.14,7.41,6.44
70-79,477666,467756,442394,90.7,88.8,84,89.12,5.92,4.96
80-89,216136,210946,193486,90.5,88.4,81,85.99,6.97,7.04
90+,49226,47460,42480,83.9,80.9,72.4,77.01,10.27,12.72
