instituteDesc,occupancy,gOccupancy,occupancyDate
Hadassah Mount Scopus         ,69.4,72.6,2022-06-08T00:00:00.000Z
Rabin K. HaSharon             ,69.3,68,2022-06-08T00:00:00.000Z
HACARMEL HOSPITAL             ,71.7,80.8,2022-06-08T00:00:00.000Z
YOSEPHTAL HOSPITAL            ,75,56.9,2022-06-08T00:00:00.000Z
      ZIV HOSPITAL            ,76.6,73.5,2022-06-08T00:00:00.000Z
SOROKA MEDICAL CENTER         ,76,84.7,2022-06-08T00:00:00.000Z
MEIR HOSPITAL                 ,78.5,83.7,2022-06-08T00:00:00.000Z
PORIAH HOSPITAL               ,83.3,79.7,2022-06-08T00:00:00.000Z
WOOLFSON MEDICAL CENTER       ,85.2,78.3,2022-06-08T00:00:00.000Z
BNEI ZIOM MEDICAL CENTER      ,95,94.7,2022-06-08T00:00:00.000Z
Rambam                        ,96,87.1,2022-06-08T00:00:00.000Z
KAPLAN HOSPITAL               ,98.7,98.1,2022-06-08T00:00:00.000Z
ASSAF HAROFEH MEDICAL CENTER  ,98.1,77.4,2022-06-08T00:00:00.000Z
TEL AVIV MEDICAL CENTER       ,101.3,122.7,2022-06-08T00:00:00.000Z
BARZILAI MEDICAL CENTER       ,101,86.9,2022-06-08T00:00:00.000Z
HAEMEK VALLEY CENTER HOSPITAL ,102.6,73,2022-06-08T00:00:00.000Z
NAHARIYA                      ,107.9,98.4,2022-06-08T00:00:00.000Z
Shmuel HaRofe                 ,108.3,84.2,2022-06-08T00:00:00.000Z
CHAIM SHEBA MEDICAL CENTER    ,111.7,105.6,2022-06-08T00:00:00.000Z
Laniado                       ,114.1,86.9,2022-06-08T00:00:00.000Z
Hadassah Ein Kerem            ,117.5,97.4,2022-06-08T00:00:00.000Z
HILLEL YAFFEH MEDICAL CENTER  ,117.8,96.3,2022-06-08T00:00:00.000Z
