period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,225,1026,4.4,20.06
3_Month,5-11,734,4839,1.75,11.51
6_Month,5-11,2088,41048,0.45,8.94
1_Year,5-11,2088,42594,0.35,7.22
All,5-11,2088,42825,0.3,6.19
1_Month,12-15,204,296,6.19,8.98
3_Month,12-15,816,1374,3.76,6.34
6_Month,12-15,6973,15049,3.14,6.78
1_Year,12-15,7037,16109,2.67,6.12
All,12-15,7037,16364,2.12,4.94
1_Month,16-19,252,92,10.45,3.82
3_Month,16-19,1211,588,6.27,3.04
6_Month,16-19,11218,8820,6.22,4.89
1_Year,16-19,11408,9814,5.47,4.7
All,16-19,11419,10095,3.92,3.46
1_Month,20-29,721,226,9.44,2.96
3_Month,20-29,4003,1387,6.61,2.29
6_Month,20-29,26604,16271,7.03,4.3
1_Year,20-29,27049,18403,6.05,4.12
All,20-29,27080,18859,4.5,3.13
1_Month,30-39,744,304,7.71,3.15
3_Month,30-39,4048,1549,5.66,2.17
6_Month,30-39,24108,14494,5.87,3.53
1_Year,30-39,24490,16044,5.09,3.33
All,30-39,24543,16364,4.11,2.74
1_Month,40-49,791,221,7.73,2.16
3_Month,40-49,3580,1187,5.17,1.71
6_Month,40-49,21130,10719,5.57,2.83
1_Year,40-49,21453,11659,4.95,2.69
All,40-49,21513,11895,4.05,2.24
1_Month,50-59,580,112,6.07,1.17
3_Month,50-59,2466,713,4.34,1.25
6_Month,50-59,13119,5750,5.11,2.24
1_Year,50-59,13293,6139,4.64,2.14
All,50-59,13339,6303,3.73,1.76
1_Month,60-69,429,68,4.15,0.66
3_Month,60-69,1662,364,3.27,0.72
6_Month,60-69,7473,3017,4.11,1.66
1_Year,60-69,7589,3157,3.78,1.57
All,60-69,7622,3241,3.09,1.31
1_Month,70-79,260,25,2.83,0.27
3_Month,70-79,796,122,2.16,0.33
6_Month,70-79,3070,862,2.95,0.83
1_Year,70-79,3137,905,2.75,0.79
All,70-79,3157,954,2.3,0.7
1_Month,80+,131,20,3.33,0.51
3_Month,80+,448,76,2.73,0.46
6_Month,80+,1803,474,3.65,0.96
1_Year,80+,1847,497,3.33,0.89
All,80+,1877,542,2.61,0.75
