instituteDesc,occupancy,gOccupancy,occupancyDate
SOROKA MEDICAL CENTER         ,66.3,81.6,2022-06-12T00:00:00.000Z
Rabin K. HaSharon             ,78.9,64.7,2022-06-12T00:00:00.000Z
HACARMEL HOSPITAL             ,79.2,81.6,2022-06-12T00:00:00.000Z
PORIAH HOSPITAL               ,79.5,78,2022-06-12T00:00:00.000Z
YOSEPHTAL HOSPITAL            ,87.5,46.2,2022-06-12T00:00:00.000Z
KAPLAN HOSPITAL               ,89.3,94.9,2022-06-12T00:00:00.000Z
BARZILAI MEDICAL CENTER       ,90.6,80.5,2022-06-12T00:00:00.000Z
HAEMEK VALLEY CENTER HOSPITAL ,96.1,74.8,2022-06-12T00:00:00.000Z
WOOLFSON MEDICAL CENTER       ,96.7,87.7,2022-06-12T00:00:00.000Z
ASSAF HAROFEH MEDICAL CENTER  ,96.1,76.3,2022-06-12T00:00:00.000Z
Hadassah Mount Scopus         ,97.2,77.1,2022-06-12T00:00:00.000Z
Rambam                        ,99.5,88.5,2022-06-12T00:00:00.000Z
BNEI ZIOM MEDICAL CENTER      ,101.7,95.2,2022-06-12T00:00:00.000Z
NAHARIYA                      ,101.1,89.7,2022-06-12T00:00:00.000Z
Hadassah Ein Kerem            ,105.8,86.8,2022-06-12T00:00:00.000Z
Laniado                       ,105.1,103.3,2022-06-12T00:00:00.000Z
CHAIM SHEBA MEDICAL CENTER    ,106.7,99.2,2022-06-12T00:00:00.000Z
      ZIV HOSPITAL            ,110.9,80.7,2022-06-12T00:00:00.000Z
Shaare Zedek                  ,110.7,102.4,2022-06-12T00:00:00.000Z
HILLEL YAFFEH MEDICAL CENTER  ,115.8,96.1,2022-06-12T00:00:00.000Z
Assuta Ashdod                 ,122,101,2022-06-12T00:00:00.000Z
Rabin K. Beilinson            ,124.2,105,2022-06-12T00:00:00.000Z
