period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,270,1134,5.04,21.18
3_Month,5-11,782,4915,1.93,12.14
6_Month,5-11,2156,41327,0.47,8.99
1_Year,5-11,2156,42884,0.36,7.26
All,5-11,2156,43115,0.31,6.22
1_Month,12-15,238,355,6.54,9.76
3_Month,12-15,841,1403,3.97,6.63
6_Month,12-15,7037,15137,3.16,6.8
1_Year,12-15,7101,16204,2.69,6.14
All,12-15,7101,16459,2.14,4.95
1_Month,16-19,321,113,11.66,4.1
3_Month,16-19,1252,602,6.66,3.2
6_Month,16-19,11314,8846,6.25,4.89
1_Year,16-19,11505,9844,5.5,4.7
All,16-19,11516,10125,3.94,3.47
1_Month,20-29,899,261,10.43,3.03
3_Month,20-29,4091,1398,6.88,2.35
6_Month,20-29,26855,16321,7.06,4.29
1_Year,20-29,27304,18461,6.08,4.11
All,20-29,27335,18917,4.53,3.13
1_Month,30-39,909,347,8.56,3.27
3_Month,30-39,4174,1596,5.93,2.27
6_Month,30-39,24363,14569,5.9,3.53
1_Year,30-39,24753,16124,5.12,3.33
All,30-39,24806,16445,4.14,2.74
1_Month,40-49,980,263,8.56,2.3
3_Month,40-49,3713,1204,5.43,1.76
6_Month,40-49,21398,10779,5.61,2.83
1_Year,40-49,21727,11720,4.99,2.69
All,40-49,21787,11956,4.08,2.24
1_Month,50-59,720,147,6.56,1.34
3_Month,50-59,2586,721,4.55,1.27
6_Month,50-59,13312,5793,5.14,2.24
1_Year,50-59,13488,6183,4.67,2.14
All,50-59,13535,6347,3.75,1.76
1_Month,60-69,523,83,4.45,0.71
3_Month,60-69,1747,368,3.38,0.71
6_Month,60-69,7609,3034,4.13,1.65
1_Year,60-69,7726,3176,3.8,1.56
All,60-69,7759,3261,3.11,1.31
1_Month,70-79,344,31,3.22,0.29
3_Month,70-79,888,127,2.33,0.33
6_Month,70-79,3180,868,2.99,0.82
1_Year,70-79,3248,911,2.79,0.78
All,70-79,3268,960,2.34,0.69
1_Month,80+,147,21,3.27,0.47
3_Month,80+,465,78,2.76,0.46
6_Month,80+,1843,477,3.65,0.95
1_Year,80+,1887,500,3.34,0.88
All,80+,1917,545,2.63,0.75
