age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2971,2,3706,1019.7,,404.3,0,0,2,0,,0.2
12-15,1761,772,788,583.1,1117.9,317.2,1,0,0,0.3,0,0
16-19,2690,361,365,684.1,525.9,312.6,1,0,0,0.3,0,0
20-29,9321,734,1036,970.5,471.9,577.9,1,0,1,0.1,0,0.6
30-39,9249,825,1148,1004.5,619.8,862.7,5,1,2,0.5,0.8,1.5
40-49,9127,536,813,1018.7,549.4,792,4,1,6,0.4,1,5.8
50-59,7482,333,698,1018.1,499.1,1086.8,10,1,14,1.4,1.5,21.8
60-69,6940,226,641,1064.4,591.2,1220.5,33,5,14,5.1,13.1,26.7
70-79,4735,125,428,982.9,569.1,2088.5,40,1,20,8.3,4.6,97.6
80-89,1841,75,243,872.4,515.2,2233.9,39,4,19,18.5,27.5,174.7
90+,470,24,74,973.4,344.5,3737.4,12,5,13,24.9,71.8,656.6
