age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,121501,9887,31,9.8,0.8,0,0.07,99.93,0
12-15,385927,308689,5949,60.7,48.5,0.9,58.58,41.41,0.02
16-19,519969,452513,215502,87.9,76.5,36.4,65.1,20.73,14.17
20-29,1115478,996678,668017,84.5,75.5,50.6,67.36,15.47,17.16
30-39,1063636,974986,674183,88.1,80.8,55.8,70.69,12.42,16.89
40-49,998033,927748,706885,89.8,83.5,63.6,76.66,10.37,12.97
50-59,792243,746468,613675,90.6,85.3,70.2,80.93,8.73,10.34
60-69,690311,664242,581238,92.4,88.9,77.8,85.78,7.56,6.66
70-79,477253,466963,440106,90.6,88.6,83.5,88.6,6.31,5.09
80-89,215936,210610,192562,90.5,88.2,80.7,85.54,7.26,7.19
90+,49163,47383,42221,83.8,80.7,71.9,76.14,11,12.86
