age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,0,2150,0,0,194.7,0,0,0,0,0,0
12-15,126,0,355,35.4,0,141.2,0,0,0,0,0,0
16-19,63,38,135,16.9,46.8,113.7,0,0,1,0,0,0.8
20-29,211,137,233,24.4,62.2,117.4,0,1,1,0,0.5,0.5
30-39,351,197,252,42.2,99.1,172.4,0,0,4,0,0,2.7
40-49,309,124,195,37,87.7,172.5,0,1,14,0,0.7,12.4
50-59,140,41,106,20.1,46,140.9,1,1,13,0.1,1.1,17.3
60-69,101,30,72,15.9,60.8,128.5,3,3,14,0.5,6.1,25
70-79,61,9,31,13.2,33.8,93.9,3,2,4,0.6,7.5,12.1
80-89,24,5,21,11.9,29.5,122.5,3,0,4,1.5,0,23.3
90+,2,4,5,4.6,54.4,79.5,0,0,1,0,0,15.9
