age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,4175,3,9287,1431.6,,1018.3,0,0,1,0,,0.1
12-15,3629,707,2065,1071.1,1963.6,846.1,1,0,4,0.3,0,1.6
16-19,4491,718,1189,1110,1226,1032.3,1,1,1,0.2,1.7,0.9
20-29,8225,1239,2327,857.5,806.6,1279.6,1,0,3,0.1,0,1.6
30-39,11345,1685,2709,1236.2,1257.6,2013.4,6,1,11,0.7,0.7,8.2
40-49,11017,1123,2164,1232.5,1149.8,2079.3,10,6,12,1.1,6.1,11.5
50-59,7754,715,1489,1058.7,1077.6,2225.7,32,12,37,4.4,18.1,55.3
60-69,7700,614,1351,1182.6,1598.9,2540.2,69,10,51,10.6,26,95.9
70-79,4902,333,857,1026.7,1521.1,3465,97,19,66,20.3,86.8,266.8
80-89,2756,191,605,1315.6,1305.6,4958.2,83,21,86,39.6,143.6,704.8
90+,1027,67,230,2172.8,965.6,7700,33,8,25,69.8,115.3,837
