age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,306924,207260,635971,48.3,32.6,164,0
16-19,482097,411980,591331,81.5,69.7,63175,10.7
20-29,1053241,953430,1319364,79.8,72.3,234110,17.7
30-39,1019176,942143,1207243,84.4,78,313295,26
40-49,966132,901750,1110965,87,81.2,440422,39.6
50-59,773276,728406,874608,88.4,83.3,461454,52.8
60-69,680597,652414,747217,91.1,87.3,506482,67.8
70-79,472618,460132,526929,89.7,87.3,403807,76.6
80-89,213886,207763,238729,89.6,87,176372,73.9
90+,48629,46743,58687,82.9,79.6,37745,64.3
