age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.7,79.9,19.4
12-15,65.7,54.7,15,0,1.7,44.7,53.6
16-19,89.3,78.3,46,0.2,1.7,23,75.3
20-29,85.6,77.1,54.8,0.9,2.3,13.2,84.5
30-39,89,82,59.7,2.1,2.6,10.5,86.9
40-49,90.6,84.7,67.1,3.5,3,8.9,88.1
50-59,91.2,86.6,73.3,7.3,4.1,6.4,89.5
60-69,93.2,90.3,80.9,34.2,4.8,7.6,87.6
70-79,92.1,90.7,87.4,54.7,5.1,3.1,91.7
80+,95.3,93.3,87.5,58.1,4.4,5.8,89.8
