period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,176,984,2.73,15.24
3_Month,5-11,827,7988,1.03,9.95
6_Month,5-11,1897,40326,0.41,8.75
1_Year,5-11,1897,41782,0.32,7.13
All,5-11,1897,41990,0.28,6.1
1_Month,12-15,168,246,4.92,7.21
3_Month,12-15,1268,2147,3.35,5.66
6_Month,12-15,6845,14836,3.1,6.73
1_Year,12-15,6904,15850,2.65,6.08
All,12-15,6904,16077,2.1,4.89
1_Month,16-19,220,99,8.14,3.66
3_Month,16-19,1809,839,5.6,2.6
6_Month,16-19,11012,8761,6.16,4.9
1_Year,16-19,11192,9737,5.42,4.71
All,16-19,11203,10014,3.87,3.46
1_Month,20-29,683,217,8.02,2.55
3_Month,20-29,5328,1878,6.27,2.21
6_Month,20-29,26007,16114,6.97,4.32
1_Year,20-29,26432,18207,6,4.13
All,20-29,26459,18654,4.45,3.13
1_Month,30-39,845,255,6.87,2.07
3_Month,30-39,5454,2033,5.36,2
6_Month,30-39,23513,14285,5.82,3.53
1_Year,30-39,23876,15800,5.04,3.34
All,30-39,23922,16111,4.06,2.74
1_Month,40-49,722,201,6.01,1.67
3_Month,40-49,4587,1512,4.76,1.57
6_Month,40-49,20486,10551,5.51,2.84
1_Year,40-49,20782,11465,4.89,2.7
All,40-49,20827,11696,3.98,2.24
1_Month,50-59,507,121,4.83,1.15
3_Month,50-59,3090,878,4.24,1.21
6_Month,50-59,12629,5658,5.08,2.28
1_Year,50-59,12792,6039,4.6,2.17
All,50-59,12834,6199,3.67,1.77
1_Month,60-69,381,56,3.45,0.51
3_Month,60-69,1855,459,3.18,0.79
6_Month,60-69,7119,2962,4.11,1.71
1_Year,60-69,7221,3100,3.77,1.62
All,60-69,7247,3179,3.05,1.34
1_Month,70-79,199,26,2.32,0.3
3_Month,70-79,786,157,2.07,0.41
6_Month,70-79,2852,837,2.97,0.87
1_Year,70-79,2915,880,2.75,0.83
All,70-79,2933,927,2.27,0.72
1_Month,80+,144,27,3.35,0.63
3_Month,80+,478,96,2.74,0.55
6_Month,80+,1698,458,3.68,0.99
1_Year,80+,1745,480,3.35,0.92
All,80+,1769,525,2.58,0.77
