age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,356,0,762,123.9,,82.6,0,0,0,0,,0
12-15,296,159,170,107.2,175.7,65.6,0,0,0,0,0,0
16-19,388,63,67,102.3,79.9,52.4,0,0,1,0,0,0.8
20-29,1071,131,173,112.2,73,97.6,0,0,1,0,0,0.6
30-39,1408,170,217,154.3,104.9,169.6,0,0,1,0,0,0.8
40-49,1404,130,156,158.2,110.4,154.4,0,3,4,0,2.5,4
50-59,1145,82,120,156.5,107,191.2,3,1,4,0.4,1.3,6.4
60-69,1941,79,152,300.2,207.6,258.8,14,1,6,2.2,2.6,10.2
70-79,1636,43,109,345.8,231.7,384.2,19,1,4,4,5.4,14.1
80+,1116,38,107,450.6,284.3,590.9,25,1,7,10.1,7.5,38.7
