age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,363686,298689,558,57.2,47,0.1,58.2,41.79,0.01
16-19,515603,447658,198319,87.2,75.7,33.5,62.9,21.24,15.86
20-29,1106518,987433,637253,83.9,74.8,48.3,65.32,16.34,18.34
30-39,1057448,968759,647505,87.6,80.2,53.6,69.02,13.01,17.97
40-49,993906,923038,689319,89.5,83.1,62,75.4,10.82,13.78
50-59,789727,743228,603139,90.3,85,69,79.86,9.28,10.86
60-69,688766,662113,575266,92.2,88.6,77,85.24,7.85,6.92
70-79,476430,465775,436765,90.4,88.4,82.9,87.62,7.11,5.27
80-89,215628,210081,191170,90.3,88,80.1,84.75,7.91,7.35
90+,49065,47251,41811,83.6,80.5,71.2,74.81,12.31,12.88
