age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,33,0,316,9.4,0,124.8,0,0,0,0,0,0
16-19,18,41,117,5,45.4,96.6,0,0,0,0,0,0
20-29,58,146,321,6.9,62.3,153.8,0,1,6,0,0.4,2.9
30-39,143,183,316,17.6,86.7,206.9,0,0,8,0,0,5.2
40-49,116,121,270,14.1,80.7,229.4,1,0,21,0.1,0,17.8
50-59,63,36,139,9.2,38.5,174,1,2,33,0.1,2.1,41.3
60-69,70,31,79,11.1,60.6,136.1,3,3,29,0.5,5.9,49.9
70-79,52,12,49,11.3,43.6,131.7,9,0,11,2,0,29.6
80-89,25,11,28,12.5,63.6,150.3,2,0,7,1,0,37.6
90+,3,1,5,7,13.6,71.1,0,0,1,0,0,14.2
