age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,149,0,347,52.2,,37.5,0,0,0,0,,0
12-15,132,75,96,48.5,81.2,36.7,0,0,1,0,0,0.4
16-19,180,38,30,47.9,46.7,23.3,0,0,0,0,0,0
20-29,594,88,124,62.4,48.4,70,1,0,1,0.1,0,0.6
30-39,929,134,149,102.1,82,115.9,0,0,1,0,0,0.8
40-49,983,88,107,111,74.2,104.9,0,1,2,0,0.8,2
50-59,1061,56,96,145.1,72.4,153.8,1,1,1,0.1,1.3,1.6
60-69,1700,56,119,263.3,145.7,201,12,2,1,1.9,5.2,1.7
70-79,1774,34,112,374.2,181.3,413,22,1,5,4.6,5.3,18.4
80+,933,35,64,377,260.3,351.3,16,1,3,6.5,7.4,16.5
