period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1014,4043,7.32,29.2
3_Month,5-11,1465,6872,4.17,19.58
6_Month,5-11,3024,44553,0.65,9.57
1_Year,5-11,3028,46258,0.5,7.69
All,5-11,3028,46502,0.43,6.6
1_Month,12-15,807,1156,9.68,13.87
3_Month,12-15,1214,1899,6.44,10.08
6_Month,12-15,7648,15968,3.38,7.05
1_Year,12-15,7759,17103,2.88,6.34
All,12-15,7759,17391,2.29,5.14
1_Month,16-19,1200,445,16,5.93
3_Month,16-19,1773,759,11.18,4.78
6_Month,16-19,12244,9167,6.6,4.94
1_Year,16-19,12488,10214,5.81,4.75
All,16-19,12504,10497,4.2,3.52
1_Month,20-29,3315,1005,15.33,4.65
3_Month,20-29,5175,1822,10.6,3.73
6_Month,20-29,29411,17057,7.47,4.33
1_Year,20-29,29987,19295,6.45,4.15
All,20-29,30019,19755,4.84,3.19
1_Month,30-39,3572,1265,13.51,4.78
3_Month,30-39,5763,2223,9.03,3.48
6_Month,30-39,27180,15518,6.33,3.61
1_Year,30-39,27692,17156,5.5,3.41
All,30-39,27748,17479,4.48,2.82
1_Month,40-49,3697,962,13.3,3.46
3_Month,40-49,5592,1669,8.76,2.61
6_Month,40-49,24324,11495,6.09,2.88
1_Year,40-49,24735,12497,5.42,2.74
All,40-49,24803,12737,4.47,2.29
1_Month,50-59,2503,572,9.59,2.19
3_Month,50-59,3819,984,6.73,1.73
6_Month,50-59,15250,6224,5.52,2.25
1_Year,50-59,15475,6642,5.03,2.16
All,50-59,15525,6807,4.09,1.79
1_Month,60-69,1772,274,6.48,1
3_Month,60-69,2729,498,4.76,0.87
6_Month,60-69,8973,3247,4.41,1.6
1_Year,60-69,9126,3395,4.09,1.52
All,60-69,9162,3485,3.4,1.29
1_Month,70-79,1090,102,4.47,0.42
3_Month,70-79,1579,189,3.38,0.4
6_Month,70-79,3997,950,3.24,0.77
1_Year,70-79,4078,993,3.05,0.74
All,70-79,4098,1044,2.61,0.66
1_Month,80+,600,60,5.29,0.53
3_Month,80+,892,114,4.09,0.52
6_Month,80+,2328,523,3.97,0.89
1_Year,80+,2374,546,3.66,0.84
All,80+,2405,591,2.96,0.73
