instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,56.1,65.6,2022-06-29T00:00:00.000Z
Hacarmel Hospital             ,62.3,79.6,2022-06-29T00:00:00.000Z
Soroka Medical Center         ,67.8,86.3,2022-06-29T00:00:00.000Z
Poriah Hospital               ,67.9,70.1,2022-06-29T00:00:00.000Z
Yosephtal Hospital            ,68.8,47.7,2022-06-29T00:00:00.000Z
Bnei Ziom Medical Center      ,71.1,90.1,2022-06-29T00:00:00.000Z
Woolfson Medical Center       ,71.3,79.9,2022-06-29T00:00:00.000Z
Hadassah Mount Scopus         ,75,72.6,2022-06-29T00:00:00.000Z
Meir Hospital                 ,78.5,88.4,2022-06-29T00:00:00.000Z
Tel Aviv Medical Center       ,79.7,112.7,2022-06-29T00:00:00.000Z
Shaare Zedek                  ,79.3,106.1,2022-06-29T00:00:00.000Z
Haemek Valley Center Hospital ,87.1,76.1,2022-06-29T00:00:00.000Z
Hadassah Ein Kerem            ,90.3,88,2022-06-29T00:00:00.000Z
Laniado                       ,93.6,108.1,2022-06-29T00:00:00.000Z
Rambam                        ,93.4,93.3,2022-06-29T00:00:00.000Z
Shmuel Harofe                 ,94.4,83.9,2022-06-29T00:00:00.000Z
Assaf Harofeh Medical Center  ,94.6,76.7,2022-06-29T00:00:00.000Z
      Ziv Hospital            ,96.9,78.1,2022-06-29T00:00:00.000Z
Barzilai Medical Center       ,97.4,87.1,2022-06-29T00:00:00.000Z
Nahariya                      ,97.9,91.5,2022-06-29T00:00:00.000Z
Assuta Ashdod                 ,103.4,103.4,2022-06-29T00:00:00.000Z
Chaim Sheba Medical Center    ,107.1,108.5,2022-06-29T00:00:00.000Z
Hillel Yaffeh Medical Center  ,119.9,91.8,2022-06-29T00:00:00.000Z
Rabin K. Beilinson            ,121.1,108.2,2022-06-29T00:00:00.000Z
