age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,302992,173064,49,24.5,14,0,17.19,82.81,0
12-15,414855,338718,81579,65.2,53.3,12.8,59.62,39.72,0.66
16-19,527054,459489,263190,89.1,77.7,44.5,69.01,19.94,11.05
20-29,1127361,1009273,708259,85.4,76.5,53.7,71.09,14.46,14.45
30-39,1072881,984673,710412,88.9,81.6,58.8,74.08,11.56,14.36
40-49,1004556,935674,735275,90.4,84.2,66.2,79.24,9.7,11.06
50-59,795919,752159,633100,91,86,72.4,82.95,8.04,9.01
60-69,692560,669171,596224,92.7,89.6,79.8,86.81,7.28,5.92
70-79,478477,470035,450533,90.8,89.2,85.5,89.95,5.47,4.57
80-89,216638,212067,197998,90.7,88.8,82.9,87.59,5.81,6.6
90+,49444,47817,44196,84.3,81.5,75.3,80.6,6.9,12.5
