age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.2,0,0,23.64,76.36,0
12-15,65.4,54.2,14,0,54.72,39.37,5.9
16-19,89.2,78,45.4,0.1,69.68,19.89,10.43
20-29,85.6,76.7,54.1,0.4,73.59,14.15,12.26
30-39,89,81.8,59.2,1.2,76.75,11.4,11.84
40-49,90.5,84.4,66.5,2,81.12,9.57,9.31
50-59,91,86.2,72.7,4,84.3,7.82,7.89
60-69,92.7,89.7,80.1,29,87.48,7.21,5.31
70-79,90.8,89.3,85.8,47.3,90.78,4.94,4.28
80-89,90.8,89,83.3,49.5,88.35,5.36,6.3
90+,84.4,81.7,75.7,47.5,82.05,5.75,12.21
