period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,308,3932,0.72,9.2
3_Month,5-11,1402,36559,0.33,8.7
6_Month,5-11,1402,37172,0.3,7.88
1_Year,5-11,1402,38217,0.25,6.87
All,5-11,1402,38315,0.21,5.86
1_Month,12-15,612,1005,3.16,5.19
3_Month,12-15,6257,13758,3.09,6.8
6_Month,12-15,6291,14028,2.92,6.52
1_Year,12-15,6355,14862,2.58,6.03
All,12-15,6355,14999,2.04,4.81
1_Month,16-19,838,331,5.33,2.11
3_Month,16-19,10089,8279,6.2,5.09
6_Month,16-19,10127,8533,5.94,5.01
1_Year,16-19,10334,9238,5.37,4.8
All,16-19,10343,9498,3.78,3.47
1_Month,20-29,2045,715,6.09,2.13
3_Month,20-29,22827,15022,7.07,4.65
6_Month,20-29,22990,15669,6.76,4.61
1_Year,20-29,23423,17082,5.94,4.33
All,20-29,23439,17478,4.29,3.2
1_Month,30-39,2065,716,5.06,1.75
3_Month,30-39,20272,13042,5.88,3.78
6_Month,30-39,20434,13579,5.6,3.72
1_Year,30-39,20783,14555,4.97,3.48
All,30-39,20805,14816,3.92,2.79
1_Month,40-49,1773,539,4.6,1.4
3_Month,40-49,17785,9619,5.64,3.05
6_Month,40-49,17917,9925,5.44,3.01
1_Year,40-49,18207,10525,4.89,2.83
All,40-49,18232,10714,3.89,2.29
1_Month,50-59,1161,302,4.36,1.14
3_Month,50-59,10792,5112,5.29,2.51
6_Month,50-59,10854,5240,5.15,2.49
1_Year,50-59,11026,5479,4.69,2.33
All,50-59,11049,5621,3.61,1.84
1_Month,60-69,605,160,3.3,0.87
3_Month,60-69,5915,2677,4.41,2
6_Month,60-69,5945,2722,4.31,1.97
1_Year,60-69,6052,2809,3.93,1.83
All,60-69,6070,2877,3.05,1.44
1_Month,70-79,229,62,2.17,0.59
3_Month,70-79,2317,739,3.36,1.07
6_Month,70-79,2343,754,3.3,1.06
1_Year,70-79,2400,785,3.01,0.99
All,70-79,2410,823,2.35,0.8
1_Month,80-89,116,28,2.91,0.7
3_Month,80-89,1021,322,3.81,1.2
6_Month,80-89,1027,329,3.7,1.19
1_Year,80-89,1061,338,3.32,1.06
All,80-89,1074,367,2.45,0.84
1_Month,90+,34,8,3.45,0.81
3_Month,90+,361,81,5.09,1.14
6_Month,90+,364,81,4.96,1.1
1_Year,90+,380,85,4.49,1
All,90+,386,96,3.1,0.77
